Genome	D1b900AM_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	396
CarAnox_mtb2_1542	434251
CarAnox_mtb2_1515	48708
CarAnox_mtb2_211	5503
CarAnox_mtb2_485	87828
CarAnox_mtb2_46	382
CarAnox_mtb2_1170	385
CarAnox_mtb2_293	45
CarAnox_mtb2_638	53747
CarAnox_mtb2_1548	29
CarAnox_mtb2_1024	17928
CarAnox_mtb2_1251	63175
CarAnox_mtb2_1113	394385
CarAnox_mtb2_1099	63452
CarAnox_mtb2_921	471
CarAnox_mtb2_103	34782
CarAnox_mtb2_952	10
CarAnox_mtb2_1151	183
CarAnox_mtb2_1243	3179
CarAnox_mtb2_646	131477
CarAnox_mtb2_974	2794
CarAnox_mtb2_670	913896
CarAnox_mtb2_1504	2466
CarAnox_mtb2_933	125833
CarAnox_mtb2_861	4065
CarAnox_mtb2_1037	370761
CarAnox_mtb2_648	33789
CarAnox_mtb2_1224	107929
CarAnox_mtb2_45	25318
CarAnox_mtb2_982	251531
CarAnox_mtb2_1588	7466
CarAnox_mtb2_422	805
CarAnox_mtb2_163	5024
CarAnox_mtb2_289	884
CarAnox_mtb2_1148	20
CarAnox_mtb2_1262	14
CarAnox_mtb2_254	14286
CarAnox_mtb2_28	198081
CarAnox_mtb2_1301	1450
CarAnox_mtb2_1289	2803
CarAnox_mtb2_395	458
CarAnox_mtb2_1305	18111
CarAnox_mtb2_81	2391
CarAnox_mtb2_724	23202
CarAnox_mtb2_331	14
CarAnox_mtb2_758	28201
CarAnox_mtb2_1566	7638
CarAnox_mtb2_723	169
CarAnox_mtb2_1469	8136
CarAnox_mtb2_1276	18013
CarAnox_mtb2_1526	12628
CarAnox_mtb2_529	163454
CarAnox_mtb2_1100	716
CarAnox_mtb2_239	17359
CarAnox_mtb2_589	49508
CarAnox_mtb2_826	445361
CarAnox_mtb2_1610	6463
CarAnox_mtb2_656	157
CarAnox_mtb2_1540	21
CarAnox_mtb2_1036	2312
CarAnox_mtb2_1014	19
CarAnox_mtb2_1544	98923
CarAnox_mtb2_1584	89176
CarAnox_mtb2_1502	9768
CarAnox_mtb2_729	39518
CarAnox_mtb2_927	29
CarAnox_mtb2_315	69
CarAnox_mtb2_102	982
CarAnox_mtb2_1173	896
CarAnox_mtb2_1215	2823
CarAnox_mtb2_245	147128
CarAnox_mtb2_1108	394
CarAnox_mtb2_34	131132
CarAnox_mtb2_815	34073
CarAnox_mtb2_1121	9
CarAnox_mtb2_1583	630
CarAnox_mtb2_1636	1177
CarAnox_mtb2_1252	86970
CarAnox_mtb2_507	1942
CarAnox_mtb2_1463	34470
CarAnox_mtb2_554	24511
CarAnox_mtb2_1365	144174
CarAnox_mtb2_564	14
CarAnox_mtb2_774	16
CarAnox_mtb2_486	3289
CarAnox_mtb2_811	87
CarAnox_mtb2_661	21156
CarAnox_mtb2_1208	635
CarAnox_mtb2_1369	354
CarAnox_mtb2_2	12
CarAnox_mtb2_1188	625
CarAnox_mtb2_790	141
CarAnox_mtb2_1389	18
CarAnox_mtb2_186	183180
CarAnox_mtb2_268	245923
CarAnox_mtb2_68	18
CarAnox_mtb2_1039	20573
CarAnox_mtb2_215	28114
CarAnox_mtb2_782	14200
CarAnox_mtb2_1285	5696
CarAnox_mtb2_1408	96687
CarAnox_mtb2_122	314
CarAnox_mtb2_791	6322
CarAnox_mtb2_1279	95
CarAnox_mtb2_120	12005
CarAnox_mtb2_375	10135
CarAnox_mtb2_1071	106110
CarAnox_mtb2_1499	58181
CarAnox_mtb2_1178	906
CarAnox_mtb2_171	5718
CarAnox_mtb2_620	10511
CarAnox_mtb2_48	27936
CarAnox_mtb2_435	74343
CarAnox_mtb2_1454	782
CarAnox_mtb2_190	187
CarAnox_mtb2_890	61883
CarAnox_mtb2_304	3238
CarAnox_mtb2_1607	1470
CarAnox_mtb2_16	87
CarAnox_mtb2_912	57
CarAnox_mtb2_1016	230977
CarAnox_mtb2_265	27246
CarAnox_mtb2_857	7106
CarAnox_mtb2_755	23123
CarAnox_mtb2_1167	2541
CarAnox_mtb2_341	9644
CarAnox_mtb2_1374	2804
CarAnox_mtb2_867	318
CarAnox_mtb2_18	26322
CarAnox_mtb2_101	60768
CarAnox_mtb2_583	8797
CarAnox_mtb2_530	23323
CarAnox_mtb2_1194	45
CarAnox_mtb2_560	203220
CarAnox_mtb2_737	14689
CarAnox_mtb2_302	18
CarAnox_mtb2_1630	68860
CarAnox_mtb2_1535	14370
CarAnox_mtb2_181	3
CarAnox_mtb2_691	89996
CarAnox_mtb2_669	50590
CarAnox_mtb2_1441	489514
CarAnox_mtb2_721	36604
CarAnox_mtb2_1655	10633
CarAnox_mtb2_430	25
CarAnox_mtb2_567	17513
CarAnox_mtb2_931	178989
CarAnox_mtb2_1288	29129
CarAnox_mtb2_1201	31982
CarAnox_mtb2_1010	8
CarAnox_mtb2_1618	2589
CarAnox_mtb2_970	1664
CarAnox_mtb2_1431	2145
CarAnox_mtb2_671	8776
CarAnox_mtb2_1601	26840
CarAnox_mtb2_663	109827
CarAnox_mtb2_1123	6137
CarAnox_mtb2_972	11
CarAnox_mtb2_352	912007
CarAnox_mtb2_722	11
CarAnox_mtb2_329	42144
CarAnox_mtb2_1638	15436
CarAnox_mtb2_599	4094
CarAnox_mtb2_872	9628
CarAnox_mtb2_1531	1109498
CarAnox_mtb2_779	4895
CarAnox_mtb2_672	2254
CarAnox_mtb2_1249	55985
CarAnox_mtb2_631	32973
CarAnox_mtb2_756	46485
CarAnox_mtb2_1366	30
CarAnox_mtb2_115	210477
CarAnox_mtb2_193	19
CarAnox_mtb2_846	12392
CarAnox_mtb2_189	67245
CarAnox_mtb2_1190	217
CarAnox_mtb2_957	58
CarAnox_mtb2_1506	17616
CarAnox_mtb2_1606	334
CarAnox_mtb2_1350	173
CarAnox_mtb2_196	1917
CarAnox_mtb2_610	39
CarAnox_mtb2_1384	1016710
CarAnox_mtb2_1543	87024
CarAnox_mtb2_1116	2290
CarAnox_mtb2_879	208
CarAnox_mtb2_15	4187
CarAnox_mtb2_1271	88
CarAnox_mtb2_1239	373
CarAnox_mtb2_770	22
CarAnox_mtb2_1534	78
CarAnox_mtb2_586	625
CarAnox_mtb2_545	255
CarAnox_mtb2_650	4640
CarAnox_mtb2_112	86606
CarAnox_mtb2_1363	45
CarAnox_mtb2_419	313
CarAnox_mtb2_629	6170
CarAnox_mtb2_1512	368
CarAnox_mtb2_1092	81566
CarAnox_mtb2_347	14
CarAnox_mtb2_914	1975
CarAnox_mtb2_1089	17666
CarAnox_mtb2_945	388
CarAnox_mtb2_697	70009
CarAnox_mtb2_658	21445
CarAnox_mtb2_403	460438
CarAnox_mtb2_3	158292
CarAnox_mtb2_598	33825
CarAnox_mtb2_495	1893
CarAnox_mtb2_220	21158
CarAnox_mtb2_224	49
CarAnox_mtb2_1628	4619
CarAnox_mtb2_262	119463
CarAnox_mtb2_117	8018
CarAnox_mtb2_810	60
CarAnox_mtb2_685	12
CarAnox_mtb2_1056	148533
