Genome	D1b900BM_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	2415
CarAnox_mtb2_1542	1674
CarAnox_mtb2_1515	90
CarAnox_mtb2_211	27125
CarAnox_mtb2_485	389
CarAnox_mtb2_46	1135
CarAnox_mtb2_1170	1569
CarAnox_mtb2_293	28
CarAnox_mtb2_638	2330
CarAnox_mtb2_1548	33
CarAnox_mtb2_1024	64293
CarAnox_mtb2_1251	65881
CarAnox_mtb2_1113	9291
CarAnox_mtb2_1099	316
CarAnox_mtb2_921	139
CarAnox_mtb2_103	36593
CarAnox_mtb2_952	103
CarAnox_mtb2_1151	113
CarAnox_mtb2_1243	26494
CarAnox_mtb2_646	6072
CarAnox_mtb2_974	14458
CarAnox_mtb2_670	7981
CarAnox_mtb2_1504	4332
CarAnox_mtb2_933	1166
CarAnox_mtb2_861	11771
CarAnox_mtb2_1037	148836
CarAnox_mtb2_648	769
CarAnox_mtb2_1224	73900
CarAnox_mtb2_45	83474
CarAnox_mtb2_982	6824
CarAnox_mtb2_1588	90482
CarAnox_mtb2_422	1586
CarAnox_mtb2_163	14212
CarAnox_mtb2_289	803
CarAnox_mtb2_1148	59
CarAnox_mtb2_1262	11
CarAnox_mtb2_254	5429
CarAnox_mtb2_28	5080
CarAnox_mtb2_1301	57
CarAnox_mtb2_1289	50427
CarAnox_mtb2_395	113
CarAnox_mtb2_1305	3490
CarAnox_mtb2_81	14021
CarAnox_mtb2_724	71270
CarAnox_mtb2_331	4
CarAnox_mtb2_758	1158
CarAnox_mtb2_1566	75391
CarAnox_mtb2_723	312
CarAnox_mtb2_1469	185643
CarAnox_mtb2_1276	30283
CarAnox_mtb2_1526	33217
CarAnox_mtb2_529	357
CarAnox_mtb2_1100	588
CarAnox_mtb2_239	845
CarAnox_mtb2_589	252
CarAnox_mtb2_826	5471
CarAnox_mtb2_1610	3580
CarAnox_mtb2_656	35610
CarAnox_mtb2_1540	81
CarAnox_mtb2_1036	72
CarAnox_mtb2_1014	6
CarAnox_mtb2_1544	628
CarAnox_mtb2_1584	823
CarAnox_mtb2_1502	16852
CarAnox_mtb2_729	238759
CarAnox_mtb2_927	65
CarAnox_mtb2_315	46
CarAnox_mtb2_102	82
CarAnox_mtb2_1173	15546
CarAnox_mtb2_1215	283
CarAnox_mtb2_245	882
CarAnox_mtb2_1108	16490
CarAnox_mtb2_34	10682
CarAnox_mtb2_815	100703
CarAnox_mtb2_1121	14
CarAnox_mtb2_1583	3508
CarAnox_mtb2_1636	1321
CarAnox_mtb2_1252	1327
CarAnox_mtb2_507	4426
CarAnox_mtb2_1463	268
CarAnox_mtb2_554	12819
CarAnox_mtb2_1365	57132
CarAnox_mtb2_564	33
CarAnox_mtb2_774	120
CarAnox_mtb2_486	33472
CarAnox_mtb2_811	14
CarAnox_mtb2_661	52354
CarAnox_mtb2_1208	5532
CarAnox_mtb2_1369	23
CarAnox_mtb2_2	53
CarAnox_mtb2_1188	451
CarAnox_mtb2_790	316
CarAnox_mtb2_1389	30
CarAnox_mtb2_186	766
CarAnox_mtb2_268	2111
CarAnox_mtb2_68	49
CarAnox_mtb2_1039	30925
CarAnox_mtb2_215	39655
CarAnox_mtb2_782	3993
CarAnox_mtb2_1285	6510
CarAnox_mtb2_1408	56665
CarAnox_mtb2_122	38
CarAnox_mtb2_791	29411
CarAnox_mtb2_1279	415
CarAnox_mtb2_120	27580
CarAnox_mtb2_375	60180
CarAnox_mtb2_1071	428
CarAnox_mtb2_1499	69288
CarAnox_mtb2_1178	24758
CarAnox_mtb2_171	33790
CarAnox_mtb2_620	38778
CarAnox_mtb2_48	24477
CarAnox_mtb2_435	4862
CarAnox_mtb2_1454	137
CarAnox_mtb2_190	19
CarAnox_mtb2_890	319
CarAnox_mtb2_304	49990
CarAnox_mtb2_1607	30265
CarAnox_mtb2_16	191
CarAnox_mtb2_912	62
CarAnox_mtb2_1016	582
CarAnox_mtb2_265	26971
CarAnox_mtb2_857	39693
CarAnox_mtb2_755	29339
CarAnox_mtb2_1167	1535
CarAnox_mtb2_341	18744
CarAnox_mtb2_1374	11143
CarAnox_mtb2_867	237
CarAnox_mtb2_18	487
CarAnox_mtb2_101	13890
CarAnox_mtb2_583	15005
CarAnox_mtb2_530	123
CarAnox_mtb2_1194	99
CarAnox_mtb2_560	312
CarAnox_mtb2_737	11972
CarAnox_mtb2_302	41
CarAnox_mtb2_1630	413
CarAnox_mtb2_1535	202777
CarAnox_mtb2_181	3
CarAnox_mtb2_691	100467
CarAnox_mtb2_669	516
CarAnox_mtb2_1441	345324
CarAnox_mtb2_721	50167
CarAnox_mtb2_1655	12554
CarAnox_mtb2_430	82
CarAnox_mtb2_567	56634
CarAnox_mtb2_931	185
CarAnox_mtb2_1288	9197
CarAnox_mtb2_1201	15430
CarAnox_mtb2_1010	54
CarAnox_mtb2_1618	96
CarAnox_mtb2_970	85038
CarAnox_mtb2_1431	152
CarAnox_mtb2_671	42968
CarAnox_mtb2_1601	184
CarAnox_mtb2_663	2262
CarAnox_mtb2_1123	6331
CarAnox_mtb2_972	60
CarAnox_mtb2_352	9278995
CarAnox_mtb2_722	54
CarAnox_mtb2_329	71562
CarAnox_mtb2_1638	73013
CarAnox_mtb2_599	43063
CarAnox_mtb2_872	67129
CarAnox_mtb2_1531	2487
CarAnox_mtb2_779	19323
CarAnox_mtb2_672	2189
CarAnox_mtb2_1249	104
CarAnox_mtb2_631	536539
CarAnox_mtb2_756	293
CarAnox_mtb2_1366	7
CarAnox_mtb2_115	128937
CarAnox_mtb2_193	26
CarAnox_mtb2_846	153299
CarAnox_mtb2_189	2164
CarAnox_mtb2_1190	266
CarAnox_mtb2_957	72
CarAnox_mtb2_1506	29354
CarAnox_mtb2_1606	539
CarAnox_mtb2_1350	591
CarAnox_mtb2_196	5675
CarAnox_mtb2_610	58
CarAnox_mtb2_1384	618944
CarAnox_mtb2_1543	382
CarAnox_mtb2_1116	42
CarAnox_mtb2_879	2418
CarAnox_mtb2_15	51205
CarAnox_mtb2_1271	479
CarAnox_mtb2_1239	133
CarAnox_mtb2_770	11
CarAnox_mtb2_1534	57
CarAnox_mtb2_586	3187
CarAnox_mtb2_545	95
CarAnox_mtb2_650	3006
CarAnox_mtb2_112	191322
CarAnox_mtb2_1363	325
CarAnox_mtb2_419	901
CarAnox_mtb2_629	88707
CarAnox_mtb2_1512	4998
CarAnox_mtb2_1092	8468929
CarAnox_mtb2_347	150
