Genome	D2a237B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	7435
CarAnox_mtb2_1542	93
CarAnox_mtb2_1515	23
CarAnox_mtb2_211	8849816
CarAnox_mtb2_485	55
CarAnox_mtb2_46	2458
CarAnox_mtb2_1170	5432366
CarAnox_mtb2_293	1121577
CarAnox_mtb2_638	33
CarAnox_mtb2_1548	133217
CarAnox_mtb2_1024	300
CarAnox_mtb2_1251	216
CarAnox_mtb2_1113	3
CarAnox_mtb2_1099	47
CarAnox_mtb2_921	327
CarAnox_mtb2_103	473
CarAnox_mtb2_952	385988
CarAnox_mtb2_1151	1212
CarAnox_mtb2_1243	264
CarAnox_mtb2_646	120
CarAnox_mtb2_974	159
CarAnox_mtb2_670	49
CarAnox_mtb2_1504	2544
CarAnox_mtb2_933	24
CarAnox_mtb2_861	20
CarAnox_mtb2_1037	2293
CarAnox_mtb2_648	52
CarAnox_mtb2_1224	895
CarAnox_mtb2_45	1379
CarAnox_mtb2_982	56
CarAnox_mtb2_1588	59
CarAnox_mtb2_422	1785
CarAnox_mtb2_163	59
CarAnox_mtb2_289	1129
CarAnox_mtb2_1148	160018
CarAnox_mtb2_1262	576
CarAnox_mtb2_254	290
CarAnox_mtb2_28	259
CarAnox_mtb2_1301	388
CarAnox_mtb2_1289	178
CarAnox_mtb2_395	1160973
CarAnox_mtb2_1305	13
CarAnox_mtb2_81	468409
CarAnox_mtb2_724	56
CarAnox_mtb2_331	8002
CarAnox_mtb2_758	25
CarAnox_mtb2_1566	3974
CarAnox_mtb2_723	312
CarAnox_mtb2_1469	33
CarAnox_mtb2_1276	13
CarAnox_mtb2_1526	1857
CarAnox_mtb2_529	28
CarAnox_mtb2_1100	845
CarAnox_mtb2_239	10
CarAnox_mtb2_589	137
CarAnox_mtb2_826	121
CarAnox_mtb2_1610	77
CarAnox_mtb2_656	4
CarAnox_mtb2_1540	236542
CarAnox_mtb2_1036	39
CarAnox_mtb2_1014	8328
CarAnox_mtb2_1544	5
CarAnox_mtb2_1584	8
CarAnox_mtb2_1502	4
CarAnox_mtb2_729	248
CarAnox_mtb2_927	141008
CarAnox_mtb2_315	101315
CarAnox_mtb2_102	1349
CarAnox_mtb2_1173	3439
CarAnox_mtb2_1215	63
CarAnox_mtb2_245	11
CarAnox_mtb2_1108	12
CarAnox_mtb2_34	34
CarAnox_mtb2_815	777
CarAnox_mtb2_1121	106
CarAnox_mtb2_1583	844825
CarAnox_mtb2_1636	895
CarAnox_mtb2_1252	3
CarAnox_mtb2_507	23
CarAnox_mtb2_1463	56
CarAnox_mtb2_554	36
CarAnox_mtb2_1365	67
CarAnox_mtb2_564	1212
CarAnox_mtb2_774	321123
CarAnox_mtb2_486	791
CarAnox_mtb2_811	28
CarAnox_mtb2_661	14
CarAnox_mtb2_1208	1041245
CarAnox_mtb2_1369	812026
CarAnox_mtb2_2	1018346
CarAnox_mtb2_1188	536
CarAnox_mtb2_790	8615
CarAnox_mtb2_1389	9451
CarAnox_mtb2_186	149
CarAnox_mtb2_268	158
CarAnox_mtb2_68	316
CarAnox_mtb2_1039	141
CarAnox_mtb2_215	1279
CarAnox_mtb2_782	1328
CarAnox_mtb2_1285	1050
CarAnox_mtb2_1408	18
CarAnox_mtb2_122	8
CarAnox_mtb2_791	185
CarAnox_mtb2_1279	3634
CarAnox_mtb2_120	39
CarAnox_mtb2_375	1025
CarAnox_mtb2_1071	10
CarAnox_mtb2_1499	64
CarAnox_mtb2_1178	6
CarAnox_mtb2_171	1102
CarAnox_mtb2_620	2755
CarAnox_mtb2_48	87
CarAnox_mtb2_435	9
CarAnox_mtb2_1454	1115
CarAnox_mtb2_190	160
CarAnox_mtb2_890	36
CarAnox_mtb2_304	6
CarAnox_mtb2_1607	154
CarAnox_mtb2_16	4038950
CarAnox_mtb2_912	2823
CarAnox_mtb2_1016	53
CarAnox_mtb2_265	106
CarAnox_mtb2_857	412
CarAnox_mtb2_755	6791
CarAnox_mtb2_1167	96
CarAnox_mtb2_341	383
CarAnox_mtb2_1374	22
CarAnox_mtb2_867	779
CarAnox_mtb2_18	0
CarAnox_mtb2_101	17
CarAnox_mtb2_583	64
CarAnox_mtb2_530	22
CarAnox_mtb2_1194	202898
CarAnox_mtb2_560	23
CarAnox_mtb2_737	5
CarAnox_mtb2_302	556
CarAnox_mtb2_1630	0
CarAnox_mtb2_1535	895
CarAnox_mtb2_181	100731
CarAnox_mtb2_691	421
CarAnox_mtb2_669	14
CarAnox_mtb2_1441	1197
CarAnox_mtb2_721	147
CarAnox_mtb2_1655	73
CarAnox_mtb2_430	683
CarAnox_mtb2_567	135
CarAnox_mtb2_931	53
CarAnox_mtb2_1288	70
CarAnox_mtb2_1201	499
CarAnox_mtb2_1010	105296
CarAnox_mtb2_1618	42
CarAnox_mtb2_970	56
CarAnox_mtb2_1431	428
CarAnox_mtb2_671	22
CarAnox_mtb2_1601	1
CarAnox_mtb2_663	169
CarAnox_mtb2_1123	20
CarAnox_mtb2_972	39707
CarAnox_mtb2_352	29521
CarAnox_mtb2_722	1752
CarAnox_mtb2_329	381
CarAnox_mtb2_1638	26
CarAnox_mtb2_599	831
CarAnox_mtb2_872	90
CarAnox_mtb2_1531	92
CarAnox_mtb2_779	25
CarAnox_mtb2_672	363622
CarAnox_mtb2_1249	166
CarAnox_mtb2_631	215
CarAnox_mtb2_756	114
CarAnox_mtb2_1366	51893
CarAnox_mtb2_115	754
CarAnox_mtb2_193	100879
CarAnox_mtb2_846	1276
CarAnox_mtb2_189	175
CarAnox_mtb2_1190	207108
CarAnox_mtb2_957	276824
CarAnox_mtb2_1506	447
CarAnox_mtb2_1606	587
CarAnox_mtb2_1350	355
CarAnox_mtb2_196	2074
CarAnox_mtb2_610	2043
CarAnox_mtb2_1384	243
CarAnox_mtb2_1543	11
CarAnox_mtb2_1116	108
CarAnox_mtb2_879	2326
CarAnox_mtb2_15	188
CarAnox_mtb2_1271	1804
CarAnox_mtb2_1239	2104
CarAnox_mtb2_770	275
CarAnox_mtb2_1534	2294
CarAnox_mtb2_586	539
CarAnox_mtb2_545	1713524
CarAnox_mtb2_650	153
CarAnox_mtb2_112	682
CarAnox_mtb2_1363	1590
CarAnox_mtb2_419	605
CarAnox_mtb2_629	73
CarAnox_mtb2_1512	5406
CarAnox_mtb2_1092	17210
CarAnox_mtb2_347	205841
CarAnox_mtb2_914	447
CarAnox_mtb2_1089	1087
CarAnox_mtb2_945	481571
CarAnox_mtb2_697	22
CarAnox_mtb2_658	7
CarAnox_mtb2_403	17
CarAnox_mtb2_3	29
CarAnox_mtb2_598	60
CarAnox_mtb2_495	435
CarAnox_mtb2_220	88
CarAnox_mtb2_224	460134
CarAnox_mtb2_1628	14076
CarAnox_mtb2_262	29
CarAnox_mtb2_117	245
CarAnox_mtb2_810	86
CarAnox_mtb2_685	11985
CarAnox_mtb2_1056	41
CarAnox_mtb2_1647	26
CarAnox_mtb2_22	234567
CarAnox_mtb2_291	3621
CarAnox_mtb2_690	33405
CarAnox_mtb2_538	1816
CarAnox_mtb2_623	56
CarAnox_mtb2_207	19
CarAnox_mtb2_771	1333
CarAnox_mtb2_539	274
CarAnox_mtb2_1421	203
CarAnox_mtb2_777	96
CarAnox_mtb2_27	633
CarAnox_mtb2_316	9
CarAnox_mtb2_114	61
CarAnox_mtb2_1098	248
CarAnox_mtb2_1316	615246
CarAnox_mtb2_1367	4153
CarAnox_mtb2_662	66
CarAnox_mtb2_547	27
CarAnox_mtb2_24	1529
CarAnox_mtb2_611	182
CarAnox_mtb2_1524	6474
CarAnox_mtb2_63	42
CarAnox_mtb2_1627	306
CarAnox_mtb2_1437	2451
CarAnox_mtb2_657	21
CarAnox_mtb2_1075	15
CarAnox_mtb2_573	676
CarAnox_mtb2_613	16
CarAnox_mtb2_651	94
CarAnox_mtb2_183	6
CarAnox_mtb2_772	478
CarAnox_mtb2_314	1078
CarAnox_mtb2_1242	137
CarAnox_mtb2_386	795
CarAnox_mtb2_503	31
CarAnox_mtb2_1219	395
CarAnox_mtb2_1576	9179
CarAnox_mtb2_1299	17359
CarAnox_mtb2_242	5710
CarAnox_mtb2_754	82
CarAnox_mtb2_236	64
CarAnox_mtb2_470	10
CarAnox_mtb2_1286	1948
CarAnox_mtb2_753	182672
CarAnox_mtb2_604	897
CarAnox_mtb2_51	13
CarAnox_mtb2_335	434262
CarAnox_mtb2_548	55
CarAnox_mtb2_652	9228
CarAnox_mtb2_757	1584
CarAnox_mtb2_712	1650
CarAnox_mtb2_1130	14
CarAnox_mtb2_1359	1210
CarAnox_mtb2_916	10744
CarAnox_mtb2_1050	741
CarAnox_mtb2_1155	47
CarAnox_mtb2_317	349
CarAnox_mtb2_544	4514573
CarAnox_mtb2_1527	1380
CarAnox_mtb2_1400	277
CarAnox_mtb2_1179	79
CarAnox_mtb2_1083	93
CarAnox_mtb2_78	881
CarAnox_mtb2_20	11191
CarAnox_mtb2_379	165
CarAnox_mtb2_955	100
CarAnox_mtb2_490	150
CarAnox_mtb2_841	11098
CarAnox_mtb2_1250	388
CarAnox_mtb2_893	23
CarAnox_mtb2_601	593
CarAnox_mtb2_552	295
CarAnox_mtb2_832	782
CarAnox_mtb2_880	1957
CarAnox_mtb2_1521	20
CarAnox_mtb2_94	1563
CarAnox_mtb2_226	68
CarAnox_mtb2_1117	1538256
CarAnox_mtb2_1388	13
CarAnox_mtb2_561	274
CarAnox_mtb2_453	45
CarAnox_mtb2_1478	45
CarAnox_mtb2_21	15039
CarAnox_mtb2_803	839692
CarAnox_mtb2_775	235
CarAnox_mtb2_606	120
CarAnox_mtb2_1681	99307
CarAnox_mtb2_748	88
CarAnox_mtb2_38	436
CarAnox_mtb2_180	6580
CarAnox_mtb2_925	71
CarAnox_mtb2_420	3
CarAnox_mtb2_1549	1394
CarAnox_mtb2_1684	1861
CarAnox_mtb2_591	2542
CarAnox_mtb2_1079	1408
CarAnox_mtb2_983	22979
CarAnox_mtb2_1171	63
CarAnox_mtb2_62	211
CarAnox_mtb2_885	35854
CarAnox_mtb2_563	340
CarAnox_mtb2_1508	70
CarAnox_mtb2_1007	157
CarAnox_mtb2_1413	94
CarAnox_mtb2_923	1982
CarAnox_mtb2_1033	81
CarAnox_mtb2_628	2097
CarAnox_mtb2_214	32
CarAnox_mtb2_1432	40
CarAnox_mtb2_32	830
CarAnox_mtb2_742	40
CarAnox_mtb2_864	46964
CarAnox_mtb2_1554	23
CarAnox_mtb2_1372	3
CarAnox_mtb2_330	7
CarAnox_mtb2_1371	375
CarAnox_mtb2_1605	13691
CarAnox_mtb2_718	38
CarAnox_mtb2_751	66
CarAnox_mtb2_1593	207
CarAnox_mtb2_13	4747
CarAnox_mtb2_1414	422
CarAnox_mtb2_979	6021
CarAnox_mtb2_688	51
CarAnox_mtb2_86	25
CarAnox_mtb2_198	2369
CarAnox_mtb2_522	467
CarAnox_mtb2_504	41
CarAnox_mtb2_732	126
CarAnox_mtb2_975	16330
CarAnox_mtb2_692	3284
CarAnox_mtb2_895	1594
CarAnox_mtb2_1322	32791
CarAnox_mtb2_1003	400
CarAnox_mtb2_1433	614
CarAnox_mtb2_854	13
CarAnox_mtb2_1067	91
CarAnox_mtb2_1254	84
CarAnox_mtb2_109	598588
CarAnox_mtb2_1131	827
CarAnox_mtb2_956	10
CarAnox_mtb2_1507	325121
CarAnox_mtb2_862	19
CarAnox_mtb2_907	259
CarAnox_mtb2_1569	185351
CarAnox_mtb2_1015	7
CarAnox_mtb2_1428	129
CarAnox_mtb2_1226	48
CarAnox_mtb2_481	15
CarAnox_mtb2_151	95
CarAnox_mtb2_334	917
CarAnox_mtb2_1465	1106
CarAnox_mtb2_937	168
CarAnox_mtb2_76	105
CarAnox_mtb2_524	100
CarAnox_mtb2_1334	1971
CarAnox_mtb2_1183	151
CarAnox_mtb2_459	308
CarAnox_mtb2_743	4532
CarAnox_mtb2_1429	76
CarAnox_mtb2_14	45
CarAnox_mtb2_1320	2401
CarAnox_mtb2_336	7583
CarAnox_mtb2_1562	495
CarAnox_mtb2_213	195927
CarAnox_mtb2_83	89
CarAnox_mtb2_164	40
CarAnox_mtb2_313	538
CarAnox_mtb2_400	68
CarAnox_mtb2_421	61
CarAnox_mtb2_1600	6297
CarAnox_mtb2_888	133
CarAnox_mtb2_1536	306
CarAnox_mtb2_1101	17
CarAnox_mtb2_707	9256
CarAnox_mtb2_153	41
CarAnox_mtb2_786	96097
CarAnox_mtb2_206	333
CarAnox_mtb2_557	0
CarAnox_mtb2_349	126
CarAnox_mtb2_1053	64
CarAnox_mtb2_301	216
CarAnox_mtb2_809	904
CarAnox_mtb2_1556	178
CarAnox_mtb2_128	61
CarAnox_mtb2_1446	49
CarAnox_mtb2_1552	1248
CarAnox_mtb2_1559	950
CarAnox_mtb2_1679	501008
CarAnox_mtb2_1425	84
CarAnox_mtb2_516	11
CarAnox_mtb2_941	2141
CarAnox_mtb2_828	82
CarAnox_mtb2_739	258
CarAnox_mtb2_1274	860
CarAnox_mtb2_30	77
CarAnox_mtb2_750	3583
CarAnox_mtb2_608	67
CarAnox_mtb2_572	8395
CarAnox_mtb2_1146	92
CarAnox_mtb2_1398	1099
CarAnox_mtb2_596	24
CarAnox_mtb2_243	243
CarAnox_mtb2_1149	22
CarAnox_mtb2_361	17
