Genome	D2a900AN_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	798
CarAnox_mtb2_1542	574180
CarAnox_mtb2_1515	55227
CarAnox_mtb2_211	13120
CarAnox_mtb2_485	138922
CarAnox_mtb2_46	700
CarAnox_mtb2_1170	357
CarAnox_mtb2_293	129
CarAnox_mtb2_638	54480
CarAnox_mtb2_1548	43
CarAnox_mtb2_1024	44201
CarAnox_mtb2_1251	243265
CarAnox_mtb2_1113	882869
CarAnox_mtb2_1099	199345
CarAnox_mtb2_921	2175
CarAnox_mtb2_103	66562
CarAnox_mtb2_952	20
CarAnox_mtb2_1151	446
CarAnox_mtb2_1243	4653
CarAnox_mtb2_646	120573
CarAnox_mtb2_974	3607
CarAnox_mtb2_670	754288
CarAnox_mtb2_1504	5466
CarAnox_mtb2_933	233230
CarAnox_mtb2_861	10254
CarAnox_mtb2_1037	1154467
CarAnox_mtb2_648	62159
CarAnox_mtb2_1224	185652
CarAnox_mtb2_45	43141
CarAnox_mtb2_982	328027
CarAnox_mtb2_1588	32259
CarAnox_mtb2_422	1682
CarAnox_mtb2_163	8100
CarAnox_mtb2_289	792
CarAnox_mtb2_1148	16
CarAnox_mtb2_1262	9
CarAnox_mtb2_254	104887
CarAnox_mtb2_28	358005
CarAnox_mtb2_1301	2364
CarAnox_mtb2_1289	16699
CarAnox_mtb2_395	282
CarAnox_mtb2_1305	115764
CarAnox_mtb2_81	11424
CarAnox_mtb2_724	65557
CarAnox_mtb2_331	13
CarAnox_mtb2_758	37846
CarAnox_mtb2_1566	28152
CarAnox_mtb2_723	470
CarAnox_mtb2_1469	51232
CarAnox_mtb2_1276	22218
CarAnox_mtb2_1526	18552
CarAnox_mtb2_529	211643
CarAnox_mtb2_1100	1023
CarAnox_mtb2_239	37560
CarAnox_mtb2_589	109001
CarAnox_mtb2_826	588950
CarAnox_mtb2_1610	49057
CarAnox_mtb2_656	264
CarAnox_mtb2_1540	67
CarAnox_mtb2_1036	2691
CarAnox_mtb2_1014	37
CarAnox_mtb2_1544	108951
CarAnox_mtb2_1584	83326
CarAnox_mtb2_1502	6375
CarAnox_mtb2_729	465587
CarAnox_mtb2_927	47
CarAnox_mtb2_315	163
CarAnox_mtb2_102	539
CarAnox_mtb2_1173	86094
CarAnox_mtb2_1215	2735
CarAnox_mtb2_245	201483
CarAnox_mtb2_1108	1276
CarAnox_mtb2_34	200093
CarAnox_mtb2_815	64798
CarAnox_mtb2_1121	18
CarAnox_mtb2_1583	1738
CarAnox_mtb2_1636	3994
CarAnox_mtb2_1252	67309
CarAnox_mtb2_507	6385
CarAnox_mtb2_1463	32942
CarAnox_mtb2_554	37358
CarAnox_mtb2_1365	315309
CarAnox_mtb2_564	11
CarAnox_mtb2_774	31
CarAnox_mtb2_486	3724
CarAnox_mtb2_811	120
CarAnox_mtb2_661	41660
CarAnox_mtb2_1208	3419
CarAnox_mtb2_1369	284
CarAnox_mtb2_2	89
CarAnox_mtb2_1188	499
CarAnox_mtb2_790	377
CarAnox_mtb2_1389	71
CarAnox_mtb2_186	323902
CarAnox_mtb2_268	342634
CarAnox_mtb2_68	40
CarAnox_mtb2_1039	35085
CarAnox_mtb2_215	105381
CarAnox_mtb2_782	487
CarAnox_mtb2_1285	8764
CarAnox_mtb2_1408	402613
CarAnox_mtb2_122	440
CarAnox_mtb2_791	4227
CarAnox_mtb2_1279	44
CarAnox_mtb2_120	26753
CarAnox_mtb2_375	17589
CarAnox_mtb2_1071	138409
CarAnox_mtb2_1499	139058
CarAnox_mtb2_1178	2399
CarAnox_mtb2_171	21832
CarAnox_mtb2_620	7975
CarAnox_mtb2_48	102673
CarAnox_mtb2_435	179522
CarAnox_mtb2_1454	921
CarAnox_mtb2_190	289
CarAnox_mtb2_890	81672
