Genome	D2a900BN_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	2857
CarAnox_mtb2_1542	980
CarAnox_mtb2_1515	107
CarAnox_mtb2_211	72535
CarAnox_mtb2_485	1435
CarAnox_mtb2_46	3577
CarAnox_mtb2_1170	2047
CarAnox_mtb2_293	178
CarAnox_mtb2_638	3931
CarAnox_mtb2_1548	59
CarAnox_mtb2_1024	146428
CarAnox_mtb2_1251	50165
CarAnox_mtb2_1113	3299
CarAnox_mtb2_1099	1178
CarAnox_mtb2_921	390
CarAnox_mtb2_103	122178
CarAnox_mtb2_952	190
CarAnox_mtb2_1151	564
CarAnox_mtb2_1243	40756
CarAnox_mtb2_646	51436
CarAnox_mtb2_974	31216
CarAnox_mtb2_670	3522
CarAnox_mtb2_1504	9507
CarAnox_mtb2_933	1274
CarAnox_mtb2_861	35072
CarAnox_mtb2_1037	87684
CarAnox_mtb2_648	281
CarAnox_mtb2_1224	289573
CarAnox_mtb2_45	268179
CarAnox_mtb2_982	3079
CarAnox_mtb2_1588	108461
CarAnox_mtb2_422	6363
CarAnox_mtb2_163	53862
CarAnox_mtb2_289	2422
CarAnox_mtb2_1148	112
CarAnox_mtb2_1262	57
CarAnox_mtb2_254	4671
CarAnox_mtb2_28	2634
CarAnox_mtb2_1301	207
CarAnox_mtb2_1289	22930
CarAnox_mtb2_395	182
CarAnox_mtb2_1305	4267
CarAnox_mtb2_81	42583
CarAnox_mtb2_724	97251
CarAnox_mtb2_331	24
CarAnox_mtb2_758	1567
CarAnox_mtb2_1566	185355
CarAnox_mtb2_723	293
CarAnox_mtb2_1469	229888
CarAnox_mtb2_1276	49745
CarAnox_mtb2_1526	51590
CarAnox_mtb2_529	615
CarAnox_mtb2_1100	1875
CarAnox_mtb2_239	408
CarAnox_mtb2_589	125
CarAnox_mtb2_826	1851
CarAnox_mtb2_1610	28149
CarAnox_mtb2_656	29871
CarAnox_mtb2_1540	190
CarAnox_mtb2_1036	105
CarAnox_mtb2_1014	34
CarAnox_mtb2_1544	613
CarAnox_mtb2_1584	299
CarAnox_mtb2_1502	14485
CarAnox_mtb2_729	127085
CarAnox_mtb2_927	117
CarAnox_mtb2_315	65
CarAnox_mtb2_102	169
CarAnox_mtb2_1173	243165
CarAnox_mtb2_1215	354
CarAnox_mtb2_245	596
CarAnox_mtb2_1108	28125
CarAnox_mtb2_34	16064
CarAnox_mtb2_815	176185
CarAnox_mtb2_1121	38
CarAnox_mtb2_1583	6073
CarAnox_mtb2_1636	1315
CarAnox_mtb2_1252	1012
CarAnox_mtb2_507	19351
CarAnox_mtb2_1463	532
CarAnox_mtb2_554	12474
CarAnox_mtb2_1365	46244
CarAnox_mtb2_564	308
CarAnox_mtb2_774	323
CarAnox_mtb2_486	35763
CarAnox_mtb2_811	21
CarAnox_mtb2_661	71143
CarAnox_mtb2_1208	12619
CarAnox_mtb2_1369	85
CarAnox_mtb2_2	177
CarAnox_mtb2_1188	998
CarAnox_mtb2_790	2715
CarAnox_mtb2_1389	55
CarAnox_mtb2_186	761
CarAnox_mtb2_268	1495
