Genome	D2b143B_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	796
CarAnox_mtb2_1542	110
CarAnox_mtb2_1515	32
CarAnox_mtb2_211	94737
CarAnox_mtb2_485	154
CarAnox_mtb2_46	23
CarAnox_mtb2_1170	90467
CarAnox_mtb2_293	918100
CarAnox_mtb2_638	41
CarAnox_mtb2_1548	5052
CarAnox_mtb2_1024	777
CarAnox_mtb2_1251	23
CarAnox_mtb2_1113	37
CarAnox_mtb2_1099	142
CarAnox_mtb2_921	426
CarAnox_mtb2_103	32
CarAnox_mtb2_952	982025
CarAnox_mtb2_1151	483
CarAnox_mtb2_1243	33
CarAnox_mtb2_646	74
CarAnox_mtb2_974	25
CarAnox_mtb2_670	82
CarAnox_mtb2_1504	262
CarAnox_mtb2_933	30
CarAnox_mtb2_861	8
CarAnox_mtb2_1037	1240
CarAnox_mtb2_648	90
CarAnox_mtb2_1224	90
CarAnox_mtb2_45	80
CarAnox_mtb2_982	66
CarAnox_mtb2_1588	49
CarAnox_mtb2_422	152
CarAnox_mtb2_163	14
CarAnox_mtb2_289	246
CarAnox_mtb2_1148	1530
CarAnox_mtb2_1262	8
CarAnox_mtb2_254	742
CarAnox_mtb2_28	136
CarAnox_mtb2_1301	331
CarAnox_mtb2_1289	22
CarAnox_mtb2_395	1226022
CarAnox_mtb2_1305	32
CarAnox_mtb2_81	22133
CarAnox_mtb2_724	84
CarAnox_mtb2_331	1235
CarAnox_mtb2_758	22
CarAnox_mtb2_1566	90
CarAnox_mtb2_723	155
CarAnox_mtb2_1469	43
CarAnox_mtb2_1276	22
CarAnox_mtb2_1526	266
CarAnox_mtb2_529	60
CarAnox_mtb2_1100	8
CarAnox_mtb2_239	20
CarAnox_mtb2_589	83
CarAnox_mtb2_826	150
CarAnox_mtb2_1610	67
CarAnox_mtb2_656	10
CarAnox_mtb2_1540	6490
CarAnox_mtb2_1036	189
CarAnox_mtb2_1014	20
CarAnox_mtb2_1544	36
CarAnox_mtb2_1584	12
CarAnox_mtb2_1502	5
CarAnox_mtb2_729	282
CarAnox_mtb2_927	133057
CarAnox_mtb2_315	26930
CarAnox_mtb2_102	138
CarAnox_mtb2_1173	371
CarAnox_mtb2_1215	200
CarAnox_mtb2_245	32
CarAnox_mtb2_1108	30
CarAnox_mtb2_34	123
CarAnox_mtb2_815	103
CarAnox_mtb2_1121	46
CarAnox_mtb2_1583	2341004
CarAnox_mtb2_1636	72
CarAnox_mtb2_1252	18
CarAnox_mtb2_507	11
CarAnox_mtb2_1463	83
CarAnox_mtb2_554	86
CarAnox_mtb2_1365	94
CarAnox_mtb2_564	1506
CarAnox_mtb2_774	16615
CarAnox_mtb2_486	30
CarAnox_mtb2_811	133
CarAnox_mtb2_661	20
CarAnox_mtb2_1208	3346
CarAnox_mtb2_1369	539665
CarAnox_mtb2_2	3769072
CarAnox_mtb2_1188	629
CarAnox_mtb2_790	73
CarAnox_mtb2_1389	31
CarAnox_mtb2_186	228
CarAnox_mtb2_268	116
CarAnox_mtb2_68	117
CarAnox_mtb2_1039	31
CarAnox_mtb2_215	786
CarAnox_mtb2_782	3273
CarAnox_mtb2_1285	14
CarAnox_mtb2_1408	43
CarAnox_mtb2_122	23
CarAnox_mtb2_791	22
CarAnox_mtb2_1279	23
CarAnox_mtb2_120	25
CarAnox_mtb2_375	50
CarAnox_mtb2_1071	21
CarAnox_mtb2_1499	86
CarAnox_mtb2_1178	13
CarAnox_mtb2_171	67
CarAnox_mtb2_620	8926
CarAnox_mtb2_48	20
CarAnox_mtb2_435	8
CarAnox_mtb2_1454	716
CarAnox_mtb2_190	158
CarAnox_mtb2_890	52
CarAnox_mtb2_304	13
CarAnox_mtb2_1607	104
CarAnox_mtb2_16	1243200
CarAnox_mtb2_912	72
CarAnox_mtb2_1016	42
CarAnox_mtb2_265	124
CarAnox_mtb2_857	58
CarAnox_mtb2_755	561
CarAnox_mtb2_1167	6
CarAnox_mtb2_341	55
CarAnox_mtb2_1374	33
CarAnox_mtb2_867	7
CarAnox_mtb2_18	1
CarAnox_mtb2_101	10
CarAnox_mtb2_583	63
CarAnox_mtb2_530	32
CarAnox_mtb2_1194	991
CarAnox_mtb2_560	49
CarAnox_mtb2_737	16
CarAnox_mtb2_302	5
CarAnox_mtb2_1630	9
CarAnox_mtb2_1535	76
CarAnox_mtb2_181	46168
CarAnox_mtb2_691	95
CarAnox_mtb2_669	27
CarAnox_mtb2_1441	583
CarAnox_mtb2_721	210
CarAnox_mtb2_1655	44
CarAnox_mtb2_430	14
CarAnox_mtb2_567	44
CarAnox_mtb2_931	153
CarAnox_mtb2_1288	74
CarAnox_mtb2_1201	33
CarAnox_mtb2_1010	91510
CarAnox_mtb2_1618	133
CarAnox_mtb2_970	31
CarAnox_mtb2_1431	377
CarAnox_mtb2_671	24
CarAnox_mtb2_1601	18
CarAnox_mtb2_663	603
CarAnox_mtb2_1123	22
CarAnox_mtb2_972	473
CarAnox_mtb2_352	2687
CarAnox_mtb2_722	36
CarAnox_mtb2_329	590
CarAnox_mtb2_1638	32
