Genome	D2b247A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	9321
CarAnox_mtb2_1542	16483
CarAnox_mtb2_1515	132625
CarAnox_mtb2_211	7873736
CarAnox_mtb2_485	3234
CarAnox_mtb2_46	729
CarAnox_mtb2_1170	4912947
CarAnox_mtb2_293	79125
CarAnox_mtb2_638	679
CarAnox_mtb2_1548	60410
CarAnox_mtb2_1024	96
CarAnox_mtb2_1251	8548
CarAnox_mtb2_1113	465
CarAnox_mtb2_1099	43760
CarAnox_mtb2_921	22377
CarAnox_mtb2_103	370
CarAnox_mtb2_952	24466
CarAnox_mtb2_1151	13330
CarAnox_mtb2_1243	114
CarAnox_mtb2_646	35856
CarAnox_mtb2_974	83
CarAnox_mtb2_670	2320
CarAnox_mtb2_1504	8390
CarAnox_mtb2_933	2233
CarAnox_mtb2_861	83
CarAnox_mtb2_1037	256457
CarAnox_mtb2_648	4098
CarAnox_mtb2_1224	1785
CarAnox_mtb2_45	1017
CarAnox_mtb2_982	648
CarAnox_mtb2_1588	581
CarAnox_mtb2_422	797
CarAnox_mtb2_163	375
CarAnox_mtb2_289	4409
CarAnox_mtb2_1148	32173
CarAnox_mtb2_1262	218
CarAnox_mtb2_254	5155
CarAnox_mtb2_28	237015
CarAnox_mtb2_1301	167001
CarAnox_mtb2_1289	1185
CarAnox_mtb2_395	430937
CarAnox_mtb2_1305	537
CarAnox_mtb2_81	545367
CarAnox_mtb2_724	56
CarAnox_mtb2_331	13450
CarAnox_mtb2_758	202
CarAnox_mtb2_1566	1073
CarAnox_mtb2_723	7989
CarAnox_mtb2_1469	314
CarAnox_mtb2_1276	8
CarAnox_mtb2_1526	8839
CarAnox_mtb2_529	3182
CarAnox_mtb2_1100	1078
CarAnox_mtb2_239	61
CarAnox_mtb2_589	47684
CarAnox_mtb2_826	2043
CarAnox_mtb2_1610	283
CarAnox_mtb2_656	5
CarAnox_mtb2_1540	12880
CarAnox_mtb2_1036	5878
CarAnox_mtb2_1014	87460
CarAnox_mtb2_1544	374
CarAnox_mtb2_1584	649
CarAnox_mtb2_1502	50
CarAnox_mtb2_729	815
CarAnox_mtb2_927	20610
CarAnox_mtb2_315	168607
CarAnox_mtb2_102	437204
CarAnox_mtb2_1173	834
CarAnox_mtb2_1215	12137
CarAnox_mtb2_245	344
CarAnox_mtb2_1108	13
CarAnox_mtb2_34	2237
CarAnox_mtb2_815	617
CarAnox_mtb2_1121	3856
CarAnox_mtb2_1583	376662
CarAnox_mtb2_1636	45829
CarAnox_mtb2_1252	3719
CarAnox_mtb2_507	47
CarAnox_mtb2_1463	5319
CarAnox_mtb2_554	1063
CarAnox_mtb2_1365	955
CarAnox_mtb2_564	4344
CarAnox_mtb2_774	43695
CarAnox_mtb2_486	467
CarAnox_mtb2_811	51733
CarAnox_mtb2_661	29
CarAnox_mtb2_1208	1001786
CarAnox_mtb2_1369	864555
CarAnox_mtb2_2	16906
CarAnox_mtb2_1188	15330
CarAnox_mtb2_790	6752
CarAnox_mtb2_1389	110829
CarAnox_mtb2_186	8029
CarAnox_mtb2_268	27769
CarAnox_mtb2_68	155
CarAnox_mtb2_1039	99
CarAnox_mtb2_215	7709
CarAnox_mtb2_782	191
CarAnox_mtb2_1285	1044
CarAnox_mtb2_1408	1217
CarAnox_mtb2_122	1195
CarAnox_mtb2_791	82
CarAnox_mtb2_1279	1905
CarAnox_mtb2_120	62
CarAnox_mtb2_375	339
CarAnox_mtb2_1071	287
CarAnox_mtb2_1499	171
CarAnox_mtb2_1178	8
CarAnox_mtb2_171	4131
CarAnox_mtb2_620	11576
CarAnox_mtb2_48	142
CarAnox_mtb2_435	9044
CarAnox_mtb2_1454	1308681
CarAnox_mtb2_190	50326
CarAnox_mtb2_890	373
CarAnox_mtb2_304	21
CarAnox_mtb2_1607	510
CarAnox_mtb2_16	243765
CarAnox_mtb2_912	30398
CarAnox_mtb2_1016	14059
CarAnox_mtb2_265	24385
CarAnox_mtb2_857	274
CarAnox_mtb2_755	6323
CarAnox_mtb2_1167	1182
CarAnox_mtb2_341	287
CarAnox_mtb2_1374	51
CarAnox_mtb2_867	1840
CarAnox_mtb2_18	92
CarAnox_mtb2_101	25812
CarAnox_mtb2_583	1035
CarAnox_mtb2_530	1003
CarAnox_mtb2_1194	206922
CarAnox_mtb2_560	687
CarAnox_mtb2_737	123
CarAnox_mtb2_302	103
CarAnox_mtb2_1630	280
CarAnox_mtb2_1535	1072
CarAnox_mtb2_181	6915
CarAnox_mtb2_691	2482
CarAnox_mtb2_669	461
CarAnox_mtb2_1441	142032
CarAnox_mtb2_721	3176
CarAnox_mtb2_1655	1409
CarAnox_mtb2_430	410
CarAnox_mtb2_567	255
CarAnox_mtb2_931	20814
CarAnox_mtb2_1288	468
CarAnox_mtb2_1201	1731
CarAnox_mtb2_1010	19789
CarAnox_mtb2_1618	43895
CarAnox_mtb2_970	63
CarAnox_mtb2_1431	29541
CarAnox_mtb2_671	6733
CarAnox_mtb2_1601	252
CarAnox_mtb2_663	170479
CarAnox_mtb2_1123	150
CarAnox_mtb2_972	30570
CarAnox_mtb2_352	114074
CarAnox_mtb2_722	3158
CarAnox_mtb2_329	596
CarAnox_mtb2_1638	215
CarAnox_mtb2_599	1088
CarAnox_mtb2_872	29
CarAnox_mtb2_1531	17726
CarAnox_mtb2_779	15
CarAnox_mtb2_672	587873
CarAnox_mtb2_1249	869680
CarAnox_mtb2_631	1111
CarAnox_mtb2_756	303940
CarAnox_mtb2_1366	805503
CarAnox_mtb2_115	54845
CarAnox_mtb2_193	12919
CarAnox_mtb2_846	1261
CarAnox_mtb2_189	86193
CarAnox_mtb2_1190	276698
CarAnox_mtb2_957	336961
CarAnox_mtb2_1506	836
CarAnox_mtb2_1606	9085
CarAnox_mtb2_1350	2222
CarAnox_mtb2_196	3934
CarAnox_mtb2_610	524
CarAnox_mtb2_1384	7166
CarAnox_mtb2_1543	733
CarAnox_mtb2_1116	301798
CarAnox_mtb2_879	165686
CarAnox_mtb2_15	170
CarAnox_mtb2_1271	1278
CarAnox_mtb2_1239	277095
CarAnox_mtb2_770	2181
CarAnox_mtb2_1534	113883
CarAnox_mtb2_586	221
CarAnox_mtb2_545	615548
CarAnox_mtb2_650	88188
CarAnox_mtb2_112	435
CarAnox_mtb2_1363	2115
CarAnox_mtb2_419	314
CarAnox_mtb2_629	535
CarAnox_mtb2_1512	6530
CarAnox_mtb2_1092	370691
CarAnox_mtb2_347	49330
CarAnox_mtb2_914	307
CarAnox_mtb2_1089	588
CarAnox_mtb2_945	580841
CarAnox_mtb2_697	3517
CarAnox_mtb2_658	1742
CarAnox_mtb2_403	12922
CarAnox_mtb2_3	7766
CarAnox_mtb2_598	489
CarAnox_mtb2_495	98
CarAnox_mtb2_220	380
CarAnox_mtb2_224	24079
CarAnox_mtb2_1628	6721
CarAnox_mtb2_262	12439
CarAnox_mtb2_117	779
CarAnox_mtb2_810	357
CarAnox_mtb2_685	20584
CarAnox_mtb2_1056	2009
CarAnox_mtb2_1647	758
CarAnox_mtb2_22	22274
CarAnox_mtb2_291	1964
CarAnox_mtb2_690	1862
CarAnox_mtb2_538	127139
CarAnox_mtb2_623	30
CarAnox_mtb2_207	14507
CarAnox_mtb2_771	15794
CarAnox_mtb2_539	33062
CarAnox_mtb2_1421	138
CarAnox_mtb2_777	4395
CarAnox_mtb2_27	187193
CarAnox_mtb2_316	23
CarAnox_mtb2_114	388
CarAnox_mtb2_1098	1118
CarAnox_mtb2_1316	2423714
CarAnox_mtb2_1367	1072
CarAnox_mtb2_662	1499
CarAnox_mtb2_547	86967
CarAnox_mtb2_24	236760
CarAnox_mtb2_611	2016
CarAnox_mtb2_1524	53697
CarAnox_mtb2_63	116
CarAnox_mtb2_1627	626
CarAnox_mtb2_1437	933
CarAnox_mtb2_657	61323
CarAnox_mtb2_1075	5328
CarAnox_mtb2_573	1283
CarAnox_mtb2_613	632
CarAnox_mtb2_651	120070
CarAnox_mtb2_183	8
CarAnox_mtb2_772	81408
CarAnox_mtb2_314	339
CarAnox_mtb2_1242	159739
CarAnox_mtb2_386	3704
CarAnox_mtb2_503	1660
CarAnox_mtb2_1219	4275
CarAnox_mtb2_1576	867
CarAnox_mtb2_1299	35464
CarAnox_mtb2_242	3785
CarAnox_mtb2_754	519
CarAnox_mtb2_236	5841
CarAnox_mtb2_470	38
CarAnox_mtb2_1286	379612
CarAnox_mtb2_753	12943
CarAnox_mtb2_604	1264131
CarAnox_mtb2_51	174
CarAnox_mtb2_335	154647
CarAnox_mtb2_548	3325
CarAnox_mtb2_652	797835
CarAnox_mtb2_757	2917
CarAnox_mtb2_712	1236
CarAnox_mtb2_1130	16
CarAnox_mtb2_1359	27675
CarAnox_mtb2_916	761877
CarAnox_mtb2_1050	2500
CarAnox_mtb2_1155	503
