Genome	D2b900AN_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	1300
CarAnox_mtb2_1542	787357
CarAnox_mtb2_1515	78916
CarAnox_mtb2_211	15581
CarAnox_mtb2_485	204412
CarAnox_mtb2_46	942
CarAnox_mtb2_1170	836
CarAnox_mtb2_293	302
CarAnox_mtb2_638	82039
CarAnox_mtb2_1548	75
CarAnox_mtb2_1024	69205
CarAnox_mtb2_1251	338260
CarAnox_mtb2_1113	1231800
CarAnox_mtb2_1099	324124
CarAnox_mtb2_921	4009
CarAnox_mtb2_103	95485
CarAnox_mtb2_952	89
CarAnox_mtb2_1151	773
CarAnox_mtb2_1243	6449
CarAnox_mtb2_646	203898
CarAnox_mtb2_974	6359
CarAnox_mtb2_670	1094306
CarAnox_mtb2_1504	7934
CarAnox_mtb2_933	305673
CarAnox_mtb2_861	15814
CarAnox_mtb2_1037	1257364
CarAnox_mtb2_648	92929
CarAnox_mtb2_1224	286071
CarAnox_mtb2_45	60595
CarAnox_mtb2_982	434306
CarAnox_mtb2_1588	29803
CarAnox_mtb2_422	2305
CarAnox_mtb2_163	10892
CarAnox_mtb2_289	1059
CarAnox_mtb2_1148	29
CarAnox_mtb2_1262	20
CarAnox_mtb2_254	177511
CarAnox_mtb2_28	498498
CarAnox_mtb2_1301	3814
CarAnox_mtb2_1289	16734
CarAnox_mtb2_395	337
CarAnox_mtb2_1305	122655
CarAnox_mtb2_81	15258
CarAnox_mtb2_724	88728
CarAnox_mtb2_331	21
CarAnox_mtb2_758	62220
CarAnox_mtb2_1566	33457
CarAnox_mtb2_723	696
CarAnox_mtb2_1469	66091
CarAnox_mtb2_1276	29954
CarAnox_mtb2_1526	25256
CarAnox_mtb2_529	334711
CarAnox_mtb2_1100	1443
CarAnox_mtb2_239	55175
CarAnox_mtb2_589	163911
CarAnox_mtb2_826	814401
CarAnox_mtb2_1610	72620
CarAnox_mtb2_656	408
CarAnox_mtb2_1540	122
CarAnox_mtb2_1036	3563
CarAnox_mtb2_1014	63
CarAnox_mtb2_1544	163961
CarAnox_mtb2_1584	152887
CarAnox_mtb2_1502	9333
CarAnox_mtb2_729	381199
CarAnox_mtb2_927	61
CarAnox_mtb2_315	298
CarAnox_mtb2_102	1245
CarAnox_mtb2_1173	149
CarAnox_mtb2_1215	3689
CarAnox_mtb2_245	300449
CarAnox_mtb2_1108	1199
CarAnox_mtb2_34	316512
CarAnox_mtb2_815	94440
CarAnox_mtb2_1121	48
CarAnox_mtb2_1583	2395
CarAnox_mtb2_1636	5466
CarAnox_mtb2_1252	129594
CarAnox_mtb2_507	12127
CarAnox_mtb2_1463	56237
CarAnox_mtb2_554	50330
CarAnox_mtb2_1365	502301
CarAnox_mtb2_564	25
CarAnox_mtb2_774	87
CarAnox_mtb2_486	7391
CarAnox_mtb2_811	199
CarAnox_mtb2_661	59876
CarAnox_mtb2_1208	3866
CarAnox_mtb2_1369	451
CarAnox_mtb2_2	115
CarAnox_mtb2_1188	774
CarAnox_mtb2_790	529
CarAnox_mtb2_1389	115
CarAnox_mtb2_186	501557
CarAnox_mtb2_268	495139
CarAnox_mtb2_68	80
CarAnox_mtb2_1039	41077
CarAnox_mtb2_215	162381
CarAnox_mtb2_782	17601
CarAnox_mtb2_1285	11618
CarAnox_mtb2_1408	496050
