Genome	D2b900BN_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	3636
CarAnox_mtb2_1542	645
CarAnox_mtb2_1515	59
CarAnox_mtb2_211	47483
CarAnox_mtb2_485	318
CarAnox_mtb2_46	1851
CarAnox_mtb2_1170	1046
CarAnox_mtb2_293	86
CarAnox_mtb2_638	1836
CarAnox_mtb2_1548	58
CarAnox_mtb2_1024	103444
CarAnox_mtb2_1251	35217
CarAnox_mtb2_1113	4382
CarAnox_mtb2_1099	3126
CarAnox_mtb2_921	184
CarAnox_mtb2_103	59399
CarAnox_mtb2_952	155
CarAnox_mtb2_1151	186
CarAnox_mtb2_1243	26242
CarAnox_mtb2_646	23209
CarAnox_mtb2_974	15455
CarAnox_mtb2_670	2190
CarAnox_mtb2_1504	6936
CarAnox_mtb2_933	780
CarAnox_mtb2_861	20524
CarAnox_mtb2_1037	153459
CarAnox_mtb2_648	146
CarAnox_mtb2_1224	109385
CarAnox_mtb2_45	151401
CarAnox_mtb2_982	3670
CarAnox_mtb2_1588	81571
CarAnox_mtb2_422	2871
CarAnox_mtb2_163	24333
CarAnox_mtb2_289	1100
CarAnox_mtb2_1148	77
CarAnox_mtb2_1262	18
CarAnox_mtb2_254	17912
CarAnox_mtb2_28	1448
CarAnox_mtb2_1301	89
CarAnox_mtb2_1289	36154
CarAnox_mtb2_395	64
CarAnox_mtb2_1305	13153
CarAnox_mtb2_81	34733
CarAnox_mtb2_724	92890
CarAnox_mtb2_331	12
CarAnox_mtb2_758	1292
CarAnox_mtb2_1566	134156
CarAnox_mtb2_723	299
CarAnox_mtb2_1469	162769
CarAnox_mtb2_1276	40629
CarAnox_mtb2_1526	44182
CarAnox_mtb2_529	318
CarAnox_mtb2_1100	856
CarAnox_mtb2_239	412
CarAnox_mtb2_589	239
CarAnox_mtb2_826	2104
CarAnox_mtb2_1610	16377
CarAnox_mtb2_656	16604
CarAnox_mtb2_1540	99
CarAnox_mtb2_1036	94
CarAnox_mtb2_1014	6
CarAnox_mtb2_1544	273
CarAnox_mtb2_1584	88
CarAnox_mtb2_1502	15078
CarAnox_mtb2_729	224663
CarAnox_mtb2_927	90
CarAnox_mtb2_315	42
CarAnox_mtb2_102	110
CarAnox_mtb2_1173	19
CarAnox_mtb2_1215	170
CarAnox_mtb2_245	537
CarAnox_mtb2_1108	18962
CarAnox_mtb2_34	7905
CarAnox_mtb2_815	135672
CarAnox_mtb2_1121	41
CarAnox_mtb2_1583	4063
CarAnox_mtb2_1636	1060
CarAnox_mtb2_1252	150
CarAnox_mtb2_507	8548
CarAnox_mtb2_1463	282
CarAnox_mtb2_554	9705
CarAnox_mtb2_1365	40200
CarAnox_mtb2_564	50
CarAnox_mtb2_774	162
CarAnox_mtb2_486	23553
CarAnox_mtb2_811	12
CarAnox_mtb2_661	61030
CarAnox_mtb2_1208	10428
CarAnox_mtb2_1369	52
CarAnox_mtb2_2	79
CarAnox_mtb2_1188	540
CarAnox_mtb2_790	847
CarAnox_mtb2_1389	38
CarAnox_mtb2_186	953
CarAnox_mtb2_268	1052
CarAnox_mtb2_68	109
CarAnox_mtb2_1039	49543
CarAnox_mtb2_215	63775
CarAnox_mtb2_782	3071
CarAnox_mtb2_1285	11669
CarAnox_mtb2_1408	16577
CarAnox_mtb2_122	59
CarAnox_mtb2_791	37057
CarAnox_mtb2_1279	674
CarAnox_mtb2_120	46356
CarAnox_mtb2_375	108644
CarAnox_mtb2_1071	157
CarAnox_mtb2_1499	155973
CarAnox_mtb2_1178	26360
CarAnox_mtb2_171	40223
CarAnox_mtb2_620	19435
CarAnox_mtb2_48	18870
CarAnox_mtb2_435	944
CarAnox_mtb2_1454	161
CarAnox_mtb2_190	14
CarAnox_mtb2_890	162
CarAnox_mtb2_304	45789
CarAnox_mtb2_1607	33389
CarAnox_mtb2_16	1309
CarAnox_mtb2_912	135
CarAnox_mtb2_1016	381
CarAnox_mtb2_265	15411
CarAnox_mtb2_857	66436
CarAnox_mtb2_755	36588
CarAnox_mtb2_1167	2457
CarAnox_mtb2_341	31035
CarAnox_mtb2_1374	18888
CarAnox_mtb2_867	289
CarAnox_mtb2_18	261
CarAnox_mtb2_101	4081
CarAnox_mtb2_583	12757
CarAnox_mtb2_530	76
CarAnox_mtb2_1194	143
CarAnox_mtb2_560	407
CarAnox_mtb2_737	10530
CarAnox_mtb2_302	90
CarAnox_mtb2_1630	277
CarAnox_mtb2_1535	217329
CarAnox_mtb2_181	9
CarAnox_mtb2_691	88683
CarAnox_mtb2_669	326
CarAnox_mtb2_1441	243247
CarAnox_mtb2_721	67694
CarAnox_mtb2_1655	6952
CarAnox_mtb2_430	157
CarAnox_mtb2_567	82213
CarAnox_mtb2_931	135
CarAnox_mtb2_1288	4509
CarAnox_mtb2_1201	12326
CarAnox_mtb2_1010	83
CarAnox_mtb2_1618	194
CarAnox_mtb2_970	76941
CarAnox_mtb2_1431	202
CarAnox_mtb2_671	38386
CarAnox_mtb2_1601	97
CarAnox_mtb2_663	2208
CarAnox_mtb2_1123	6937
CarAnox_mtb2_972	64
CarAnox_mtb2_352	12255109
CarAnox_mtb2_722	66
CarAnox_mtb2_329	101292
CarAnox_mtb2_1638	32252
CarAnox_mtb2_599	88804
CarAnox_mtb2_872	102050
CarAnox_mtb2_1531	857
CarAnox_mtb2_779	23329
CarAnox_mtb2_672	3619
CarAnox_mtb2_1249	82
CarAnox_mtb2_631	380482
CarAnox_mtb2_756	229
CarAnox_mtb2_1366	4
CarAnox_mtb2_115	41767
CarAnox_mtb2_193	38
CarAnox_mtb2_846	206884
CarAnox_mtb2_189	3545
CarAnox_mtb2_1190	351
CarAnox_mtb2_957	57
CarAnox_mtb2_1506	57269
CarAnox_mtb2_1606	418
CarAnox_mtb2_1350	806
CarAnox_mtb2_196	8620
CarAnox_mtb2_610	119
CarAnox_mtb2_1384	1370300
CarAnox_mtb2_1543	202
CarAnox_mtb2_1116	62
CarAnox_mtb2_879	2747
CarAnox_mtb2_15	41301
CarAnox_mtb2_1271	1018
CarAnox_mtb2_1239	234
CarAnox_mtb2_770	13
CarAnox_mtb2_1534	32
CarAnox_mtb2_586	5573
CarAnox_mtb2_545	63
CarAnox_mtb2_650	1231
CarAnox_mtb2_112	254932
CarAnox_mtb2_1363	658
CarAnox_mtb2_419	1423
CarAnox_mtb2_629	90423
CarAnox_mtb2_1512	8013
CarAnox_mtb2_1092	6800692
