Genome	D3a103A_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	345
CarAnox_mtb2_1542	1491
CarAnox_mtb2_1515	2086
CarAnox_mtb2_211	6346
CarAnox_mtb2_485	642
CarAnox_mtb2_46	8
CarAnox_mtb2_1170	1718
CarAnox_mtb2_293	5232
CarAnox_mtb2_638	110
CarAnox_mtb2_1548	1130
CarAnox_mtb2_1024	30
CarAnox_mtb2_1251	78
CarAnox_mtb2_1113	449
CarAnox_mtb2_1099	172
CarAnox_mtb2_921	6577
CarAnox_mtb2_103	65
CarAnox_mtb2_952	3224
CarAnox_mtb2_1151	7374
CarAnox_mtb2_1243	0
CarAnox_mtb2_646	549
CarAnox_mtb2_974	6
CarAnox_mtb2_670	1649
CarAnox_mtb2_1504	1838
CarAnox_mtb2_933	203
CarAnox_mtb2_861	8
CarAnox_mtb2_1037	3219
CarAnox_mtb2_648	174
CarAnox_mtb2_1224	146
CarAnox_mtb2_45	134
CarAnox_mtb2_982	677
CarAnox_mtb2_1588	3
CarAnox_mtb2_422	30
CarAnox_mtb2_163	103
CarAnox_mtb2_289	378
CarAnox_mtb2_1148	75
CarAnox_mtb2_1262	5
CarAnox_mtb2_254	285
CarAnox_mtb2_28	421
CarAnox_mtb2_1301	5375
CarAnox_mtb2_1289	56
CarAnox_mtb2_395	22386
CarAnox_mtb2_1305	76
CarAnox_mtb2_81	823
CarAnox_mtb2_724	82
CarAnox_mtb2_331	1082
CarAnox_mtb2_758	79
CarAnox_mtb2_1566	16
CarAnox_mtb2_723	479
CarAnox_mtb2_1469	97
CarAnox_mtb2_1276	6
CarAnox_mtb2_1526	606
CarAnox_mtb2_529	749
CarAnox_mtb2_1100	221
CarAnox_mtb2_239	27
CarAnox_mtb2_589	533
CarAnox_mtb2_826	590
CarAnox_mtb2_1610	114
CarAnox_mtb2_656	5
CarAnox_mtb2_1540	106
CarAnox_mtb2_1036	81
CarAnox_mtb2_1014	10
CarAnox_mtb2_1544	414
CarAnox_mtb2_1584	85
CarAnox_mtb2_1502	8
CarAnox_mtb2_729	68
CarAnox_mtb2_927	4633
CarAnox_mtb2_315	441
CarAnox_mtb2_102	3371
CarAnox_mtb2_1173	198
CarAnox_mtb2_1215	688
CarAnox_mtb2_245	69
CarAnox_mtb2_1108	30
CarAnox_mtb2_34	904
CarAnox_mtb2_815	50
CarAnox_mtb2_1121	23
CarAnox_mtb2_1583	101399
CarAnox_mtb2_1636	35
CarAnox_mtb2_1252	125
CarAnox_mtb2_507	6
CarAnox_mtb2_1463	528
CarAnox_mtb2_554	78
CarAnox_mtb2_1365	359
CarAnox_mtb2_564	241
CarAnox_mtb2_774	75
CarAnox_mtb2_486	12
CarAnox_mtb2_811	2542
CarAnox_mtb2_661	28
CarAnox_mtb2_1208	263
CarAnox_mtb2_1369	455487
CarAnox_mtb2_2	47800
CarAnox_mtb2_1188	1581
CarAnox_mtb2_790	481
CarAnox_mtb2_1389	94
CarAnox_mtb2_186	9727
CarAnox_mtb2_268	1193
CarAnox_mtb2_68	7
CarAnox_mtb2_1039	16
CarAnox_mtb2_215	707
CarAnox_mtb2_782	86497
CarAnox_mtb2_1285	29
CarAnox_mtb2_1408	362
CarAnox_mtb2_122	399
CarAnox_mtb2_791	6
CarAnox_mtb2_1279	26
CarAnox_mtb2_120	18
CarAnox_mtb2_375	5
CarAnox_mtb2_1071	154
CarAnox_mtb2_1499	81
CarAnox_mtb2_1178	3
CarAnox_mtb2_171	117
CarAnox_mtb2_620	5334
CarAnox_mtb2_48	20
CarAnox_mtb2_435	88
CarAnox_mtb2_1454	15121
CarAnox_mtb2_190	336
CarAnox_mtb2_890	152
CarAnox_mtb2_304	3
CarAnox_mtb2_1607	119
CarAnox_mtb2_16	9159
CarAnox_mtb2_912	109
CarAnox_mtb2_1016	236
CarAnox_mtb2_265	7783
CarAnox_mtb2_857	149
CarAnox_mtb2_755	33
CarAnox_mtb2_1167	7
CarAnox_mtb2_341	37
CarAnox_mtb2_1374	23
CarAnox_mtb2_867	37
CarAnox_mtb2_18	16
CarAnox_mtb2_101	95
CarAnox_mtb2_583	17
CarAnox_mtb2_530	45
CarAnox_mtb2_1194	91
CarAnox_mtb2_560	239
CarAnox_mtb2_737	34
CarAnox_mtb2_302	8
CarAnox_mtb2_1630	65
CarAnox_mtb2_1535	102
CarAnox_mtb2_181	3637
CarAnox_mtb2_691	86
CarAnox_mtb2_669	317
CarAnox_mtb2_1441	1789
CarAnox_mtb2_721	1189
CarAnox_mtb2_1655	89
CarAnox_mtb2_430	2
CarAnox_mtb2_567	18
CarAnox_mtb2_931	1383
CarAnox_mtb2_1288	415
CarAnox_mtb2_1201	32
CarAnox_mtb2_1010	731
CarAnox_mtb2_1618	647
CarAnox_mtb2_970	4
CarAnox_mtb2_1431	173
CarAnox_mtb2_671	2354
CarAnox_mtb2_1601	39
CarAnox_mtb2_663	1234
CarAnox_mtb2_1123	39
CarAnox_mtb2_972	55
CarAnox_mtb2_352	183
CarAnox_mtb2_722	152
CarAnox_mtb2_329	49
CarAnox_mtb2_1638	25
CarAnox_mtb2_599	335
CarAnox_mtb2_872	10
CarAnox_mtb2_1531	2530
CarAnox_mtb2_779	2
CarAnox_mtb2_672	115926
CarAnox_mtb2_1249	1444
CarAnox_mtb2_631	24
CarAnox_mtb2_756	2299
CarAnox_mtb2_1366	701
CarAnox_mtb2_115	957
CarAnox_mtb2_193	108
CarAnox_mtb2_846	14
CarAnox_mtb2_189	140
CarAnox_mtb2_1190	1674
CarAnox_mtb2_957	123
CarAnox_mtb2_1506	208
CarAnox_mtb2_1606	180
CarAnox_mtb2_1350	157
CarAnox_mtb2_196	71
CarAnox_mtb2_610	24
CarAnox_mtb2_1384	301
CarAnox_mtb2_1543	298
CarAnox_mtb2_1116	6298
CarAnox_mtb2_879	526
CarAnox_mtb2_15	11
CarAnox_mtb2_1271	56
CarAnox_mtb2_1239	16435
CarAnox_mtb2_770	250
CarAnox_mtb2_1534	580
CarAnox_mtb2_586	3
CarAnox_mtb2_545	426151
CarAnox_mtb2_650	193
CarAnox_mtb2_112	259
CarAnox_mtb2_1363	378
CarAnox_mtb2_419	24
CarAnox_mtb2_629	188
CarAnox_mtb2_1512	133
CarAnox_mtb2_1092	953
CarAnox_mtb2_347	135
CarAnox_mtb2_914	13
CarAnox_mtb2_1089	1634
CarAnox_mtb2_945	776
CarAnox_mtb2_697	186
CarAnox_mtb2_658	56
CarAnox_mtb2_403	579
CarAnox_mtb2_3	241
CarAnox_mtb2_598	470
CarAnox_mtb2_495	14
CarAnox_mtb2_220	119
CarAnox_mtb2_224	1004
CarAnox_mtb2_1628	9851
CarAnox_mtb2_262	842
CarAnox_mtb2_117	47
CarAnox_mtb2_810	58253
CarAnox_mtb2_685	7
CarAnox_mtb2_1056	1210
CarAnox_mtb2_1647	141
CarAnox_mtb2_22	2694
CarAnox_mtb2_291	755
CarAnox_mtb2_690	825
CarAnox_mtb2_538	44
CarAnox_mtb2_623	47
CarAnox_mtb2_207	75
CarAnox_mtb2_771	20445
CarAnox_mtb2_539	1194
CarAnox_mtb2_1421	7
CarAnox_mtb2_777	134
CarAnox_mtb2_27	458
CarAnox_mtb2_316	15
CarAnox_mtb2_114	153
CarAnox_mtb2_1098	103
CarAnox_mtb2_1316	52811
CarAnox_mtb2_1367	88
CarAnox_mtb2_662	96
CarAnox_mtb2_547	242
CarAnox_mtb2_24	2655
CarAnox_mtb2_611	188
CarAnox_mtb2_1524	745
CarAnox_mtb2_63	14
CarAnox_mtb2_1627	255
CarAnox_mtb2_1437	7
CarAnox_mtb2_657	1097
CarAnox_mtb2_1075	303
CarAnox_mtb2_573	25
CarAnox_mtb2_613	443
CarAnox_mtb2_651	855
CarAnox_mtb2_183	4
CarAnox_mtb2_772	328
CarAnox_mtb2_314	81
CarAnox_mtb2_1242	1144
CarAnox_mtb2_386	81
CarAnox_mtb2_503	628
CarAnox_mtb2_1219	757
CarAnox_mtb2_1576	164
CarAnox_mtb2_1299	305
CarAnox_mtb2_242	1111
CarAnox_mtb2_754	86
CarAnox_mtb2_236	449
CarAnox_mtb2_470	12
CarAnox_mtb2_1286	1255
CarAnox_mtb2_753	37
CarAnox_mtb2_604	984
CarAnox_mtb2_51	112
CarAnox_mtb2_335	264
CarAnox_mtb2_548	234
CarAnox_mtb2_652	1277
CarAnox_mtb2_757	39
CarAnox_mtb2_712	130
CarAnox_mtb2_1130	4
CarAnox_mtb2_1359	38
CarAnox_mtb2_916	411
CarAnox_mtb2_1050	76
CarAnox_mtb2_1155	337
CarAnox_mtb2_317	37
CarAnox_mtb2_544	41420
CarAnox_mtb2_1527	33
CarAnox_mtb2_1400	21
CarAnox_mtb2_1179	282
CarAnox_mtb2_1083	26
CarAnox_mtb2_78	252
CarAnox_mtb2_20	41
CarAnox_mtb2_379	6718
CarAnox_mtb2_955	58
CarAnox_mtb2_490	20
CarAnox_mtb2_841	639
CarAnox_mtb2_1250	477
CarAnox_mtb2_893	580
CarAnox_mtb2_601	24
CarAnox_mtb2_552	100
CarAnox_mtb2_832	288
CarAnox_mtb2_880	42
CarAnox_mtb2_1521	1058
