Genome	D3a900AM_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	323
CarAnox_mtb2_1542	1009648
CarAnox_mtb2_1515	83533
CarAnox_mtb2_211	10718
CarAnox_mtb2_485	163855
CarAnox_mtb2_46	421
CarAnox_mtb2_1170	790
CarAnox_mtb2_293	106
CarAnox_mtb2_638	91131
CarAnox_mtb2_1548	60
CarAnox_mtb2_1024	29984
CarAnox_mtb2_1251	179017
CarAnox_mtb2_1113	730245
CarAnox_mtb2_1099	110286
CarAnox_mtb2_921	1020
CarAnox_mtb2_103	56489
CarAnox_mtb2_952	40
CarAnox_mtb2_1151	340
CarAnox_mtb2_1243	3825
CarAnox_mtb2_646	262029
CarAnox_mtb2_974	3173
CarAnox_mtb2_670	1734360
CarAnox_mtb2_1504	5310
CarAnox_mtb2_933	258064
CarAnox_mtb2_861	3734
CarAnox_mtb2_1037	313783
CarAnox_mtb2_648	71678
CarAnox_mtb2_1224	137721
CarAnox_mtb2_45	37231
CarAnox_mtb2_982	552440
CarAnox_mtb2_1588	4513
CarAnox_mtb2_422	1130
CarAnox_mtb2_163	4294
CarAnox_mtb2_289	968
CarAnox_mtb2_1148	39
CarAnox_mtb2_1262	18
CarAnox_mtb2_254	40077
CarAnox_mtb2_28	449384
CarAnox_mtb2_1301	3175
CarAnox_mtb2_1289	5248
CarAnox_mtb2_395	447
CarAnox_mtb2_1305	20251
CarAnox_mtb2_81	3017
CarAnox_mtb2_724	46683
CarAnox_mtb2_331	29
CarAnox_mtb2_758	64723
CarAnox_mtb2_1566	10764
CarAnox_mtb2_723	329
CarAnox_mtb2_1469	16095
CarAnox_mtb2_1276	19564
CarAnox_mtb2_1526	16718
CarAnox_mtb2_529	214740
CarAnox_mtb2_1100	1362
CarAnox_mtb2_239	27723
CarAnox_mtb2_589	113456
CarAnox_mtb2_826	946912
CarAnox_mtb2_1610	8138
CarAnox_mtb2_656	392
CarAnox_mtb2_1540	125
CarAnox_mtb2_1036	4522
CarAnox_mtb2_1014	26
CarAnox_mtb2_1544	183045
CarAnox_mtb2_1584	235352
CarAnox_mtb2_1502	9245
CarAnox_mtb2_729	42418
CarAnox_mtb2_927	65
CarAnox_mtb2_315	208
CarAnox_mtb2_102	3993
CarAnox_mtb2_1173	2121
CarAnox_mtb2_1215	6031
CarAnox_mtb2_245	414319
CarAnox_mtb2_1108	687
CarAnox_mtb2_34	218179
CarAnox_mtb2_815	41122
CarAnox_mtb2_1121	19
CarAnox_mtb2_1583	1117
CarAnox_mtb2_1636	2172
CarAnox_mtb2_1252	218378
CarAnox_mtb2_507	2060
CarAnox_mtb2_1463	71503
CarAnox_mtb2_554	46707
CarAnox_mtb2_1365	188057
CarAnox_mtb2_564	8
CarAnox_mtb2_774	55
CarAnox_mtb2_486	4960
CarAnox_mtb2_811	197
CarAnox_mtb2_661	33732
CarAnox_mtb2_1208	837
CarAnox_mtb2_1369	613
CarAnox_mtb2_2	92
CarAnox_mtb2_1188	1295
CarAnox_mtb2_790	230
CarAnox_mtb2_1389	34
CarAnox_mtb2_186	277821
CarAnox_mtb2_268	505013
CarAnox_mtb2_68	24
CarAnox_mtb2_1039	23268
CarAnox_mtb2_215	28576
CarAnox_mtb2_782	357987
CarAnox_mtb2_1285	8928
CarAnox_mtb2_1408	265787
CarAnox_mtb2_122	730
CarAnox_mtb2_791	3060
CarAnox_mtb2_1279	56
CarAnox_mtb2_120	17618
CarAnox_mtb2_375	6915
CarAnox_mtb2_1071	270899
CarAnox_mtb2_1499	115511
CarAnox_mtb2_1178	1228
CarAnox_mtb2_171	9143
CarAnox_mtb2_620	20903
CarAnox_mtb2_48	71765
CarAnox_mtb2_435	176679
CarAnox_mtb2_1454	2173
CarAnox_mtb2_190	458
CarAnox_mtb2_890	153209
CarAnox_mtb2_304	9165
CarAnox_mtb2_1607	1719
CarAnox_mtb2_16	216
CarAnox_mtb2_912	41
CarAnox_mtb2_1016	280279
CarAnox_mtb2_265	45721
CarAnox_mtb2_857	11154
CarAnox_mtb2_755	39825
CarAnox_mtb2_1167	3916
CarAnox_mtb2_341	15982
CarAnox_mtb2_1374	4249
CarAnox_mtb2_867	617
CarAnox_mtb2_18	50358
CarAnox_mtb2_101	143790
CarAnox_mtb2_583	17908
CarAnox_mtb2_530	63765
CarAnox_mtb2_1194	104
CarAnox_mtb2_560	353935
CarAnox_mtb2_737	26414
CarAnox_mtb2_302	53
CarAnox_mtb2_1630	154012
CarAnox_mtb2_1535	49823
CarAnox_mtb2_181	14
CarAnox_mtb2_691	88230
CarAnox_mtb2_669	107034
CarAnox_mtb2_1441	444989
CarAnox_mtb2_721	41057
CarAnox_mtb2_1655	3050
CarAnox_mtb2_430	26
CarAnox_mtb2_567	24194
CarAnox_mtb2_931	325013
CarAnox_mtb2_1288	32686
CarAnox_mtb2_1201	41643
CarAnox_mtb2_1010	31
CarAnox_mtb2_1618	6113
CarAnox_mtb2_970	1930
CarAnox_mtb2_1431	5054
CarAnox_mtb2_671	9022
CarAnox_mtb2_1601	58300
CarAnox_mtb2_663	14999
CarAnox_mtb2_1123	6008
CarAnox_mtb2_972	51
CarAnox_mtb2_352	1040533
CarAnox_mtb2_722	28
CarAnox_mtb2_329	73168
CarAnox_mtb2_1638	15426
CarAnox_mtb2_599	13725
CarAnox_mtb2_872	6945
CarAnox_mtb2_1531	2399729
CarAnox_mtb2_779	8111
CarAnox_mtb2_672	2378
CarAnox_mtb2_1249	107691
CarAnox_mtb2_631	44685
CarAnox_mtb2_756	98343
CarAnox_mtb2_1366	65
CarAnox_mtb2_115	234527
CarAnox_mtb2_193	57
CarAnox_mtb2_846	19897
CarAnox_mtb2_189	87861
CarAnox_mtb2_1190	670
CarAnox_mtb2_957	166
CarAnox_mtb2_1506	27301
CarAnox_mtb2_1606	678
CarAnox_mtb2_1350	211
CarAnox_mtb2_196	2792
CarAnox_mtb2_610	67
CarAnox_mtb2_1384	1053847
CarAnox_mtb2_1543	184592
CarAnox_mtb2_1116	9578
CarAnox_mtb2_879	356
CarAnox_mtb2_15	4553
CarAnox_mtb2_1271	100
CarAnox_mtb2_1239	1028
CarAnox_mtb2_770	62
CarAnox_mtb2_1534	85
CarAnox_mtb2_586	222
CarAnox_mtb2_545	911
CarAnox_mtb2_650	8741
CarAnox_mtb2_112	134973
CarAnox_mtb2_1363	62
CarAnox_mtb2_419	277
CarAnox_mtb2_629	12952
CarAnox_mtb2_1512	1584
CarAnox_mtb2_1092	96390
CarAnox_mtb2_347	69
CarAnox_mtb2_914	2820
CarAnox_mtb2_1089	31297
CarAnox_mtb2_945	1380
CarAnox_mtb2_697	69965
CarAnox_mtb2_658	57438
CarAnox_mtb2_403	855531
CarAnox_mtb2_3	379630
CarAnox_mtb2_598	61096
CarAnox_mtb2_495	2191
CarAnox_mtb2_220	82192
CarAnox_mtb2_224	126
CarAnox_mtb2_1628	4521
CarAnox_mtb2_262	242496
CarAnox_mtb2_117	7833
