Genome	D3a900BM_R1_paired.fastq.gz Read Count
CarAnox_mtb2_1290	3863
CarAnox_mtb2_1542	912
CarAnox_mtb2_1515	100
CarAnox_mtb2_211	10337
CarAnox_mtb2_485	287
CarAnox_mtb2_46	240
CarAnox_mtb2_1170	364
CarAnox_mtb2_293	53
CarAnox_mtb2_638	883
CarAnox_mtb2_1548	29
CarAnox_mtb2_1024	18022
CarAnox_mtb2_1251	23878
CarAnox_mtb2_1113	7181
CarAnox_mtb2_1099	963
CarAnox_mtb2_921	166
CarAnox_mtb2_103	7935
CarAnox_mtb2_952	109
CarAnox_mtb2_1151	49
CarAnox_mtb2_1243	6125
CarAnox_mtb2_646	1769
CarAnox_mtb2_974	10638
CarAnox_mtb2_670	1835
CarAnox_mtb2_1504	955
CarAnox_mtb2_933	549
CarAnox_mtb2_861	4644
CarAnox_mtb2_1037	28328
CarAnox_mtb2_648	438
CarAnox_mtb2_1224	21302
CarAnox_mtb2_45	12596
CarAnox_mtb2_982	4354
CarAnox_mtb2_1588	105213
CarAnox_mtb2_422	240
CarAnox_mtb2_163	2543
CarAnox_mtb2_289	438
CarAnox_mtb2_1148	23
CarAnox_mtb2_1262	7
CarAnox_mtb2_254	14641
CarAnox_mtb2_28	1486
CarAnox_mtb2_1301	56
CarAnox_mtb2_1289	133348
CarAnox_mtb2_395	106
CarAnox_mtb2_1305	1234
CarAnox_mtb2_81	4932
CarAnox_mtb2_724	24893
CarAnox_mtb2_331	2
CarAnox_mtb2_758	767
CarAnox_mtb2_1566	15619
CarAnox_mtb2_723	545
CarAnox_mtb2_1469	39365
CarAnox_mtb2_1276	78606
CarAnox_mtb2_1526	27929
CarAnox_mtb2_529	118
CarAnox_mtb2_1100	368
CarAnox_mtb2_239	643
CarAnox_mtb2_589	210
CarAnox_mtb2_826	4814
CarAnox_mtb2_1610	793
CarAnox_mtb2_656	64353
CarAnox_mtb2_1540	34
CarAnox_mtb2_1036	42
CarAnox_mtb2_1014	0
CarAnox_mtb2_1544	858
CarAnox_mtb2_1584	633
CarAnox_mtb2_1502	44256
CarAnox_mtb2_729	48590
CarAnox_mtb2_927	36
CarAnox_mtb2_315	56
CarAnox_mtb2_102	150
CarAnox_mtb2_1173	1649
CarAnox_mtb2_1215	176
CarAnox_mtb2_245	477
CarAnox_mtb2_1108	3648
CarAnox_mtb2_34	21243
CarAnox_mtb2_815	21310
