phylum	domain	product	n_product_in_phylum	n_mags_in_phylum	norm_sm_freq	total_sm_freq
Thermoplasmatota	Archaea	PKS	7	18	0.3888888888888889	1
Thermoplasmatota	Archaea	RiPP	2	18	0.1111111111111111	1
Thermoplasmatota	Archaea	Terpene	9	18	0.5	1
Halobacterota	Archaea	Hybrid cluster	1	3	0.3333333333333333	0.6666666666666666
Halobacterota	Archaea	RiPP	1	3	0.3333333333333333	0.6666666666666666
Nanoarchaeota	Archaea	Hybrid cluster	2	55	0.03636363636363636	0.5636363636363637
Nanoarchaeota	Archaea	Lactone	1	55	0.01818181818181818	0.5636363636363637
Nanoarchaeota	Archaea	NRPS	10	55	0.18181818181818182	0.5636363636363637
Nanoarchaeota	Archaea	Other cluster*	7	55	0.12727272727272726	0.5636363636363637
Nanoarchaeota	Archaea	Phosphonate	4	55	0.07272727272727272	0.5636363636363637
Nanoarchaeota	Archaea	PKS	1	55	0.01818181818181818	0.5636363636363637
Nanoarchaeota	Archaea	RiPP	2	55	0.03636363636363636	0.5636363636363637
Nanoarchaeota	Archaea	Terpene	4	55	0.07272727272727272	0.5636363636363637
Altiarchaeota	Archaea	RiPP	3	7	0.42857142857142855	0.42857142857142855
Aenigmarchaeota	Archaea	RiPP	1	5	0.2	0.4
Aenigmarchaeota	Archaea	Terpene	1	5	0.2	0.4
Crenarchaeota	Archaea	RiPP	1	5	0.2	0.2
UAP2	Archaea	RiPP	1	6	0.16666666666666666	0.16666666666666666
