sample	UMAP1	UMAP2	cluster	depth	size_fraction	time_point	redox_regime	O2
MFL103_1	1.2128445804047594	0.013274933457038784	2	103	Free-living (0.2-2.7 um)	May	Oxycline - Free-living (0.2-2.7 um)	123
MFL103_2	0.25307772321442457	-0.12446459756552608	2	103	Free-living (0.2-2.7 um)	May	Oxycline - Free-living (0.2-2.7 um)	123
MFL198_1	1.535860254098309	0.46493161185805754	2	198	Free-living (0.2-2.7 um)	May	Oxycline - Free-living (0.2-2.7 um)	37.9
MFL198_2	1.661146287538818	0.6671839758049547	2	198	Free-living (0.2-2.7 um)	May	Oxycline - Free-living (0.2-2.7 um)	37.9
MFL234_1	1.0084481798622678	0.6626875646766808	2	234	Free-living (0.2-2.7 um)	May	Oxycline - Free-living (0.2-2.7 um)	12
MFL234_2	1.3905239805187843	0.8475925965882611	2	234	Free-living (0.2-2.7 um)	May	Oxycline - Free-living (0.2-2.7 um)	12
MFL295_1	1.924609999032426	1.520542688785073	2	295	Free-living (0.2-2.7 um)	May	Shallow Anoxic - Free-living (0.2-2.7 um)	0
MFL295_2	1.6692340982058402	1.3528678934046563	2	295	Free-living (0.2-2.7 um)	May	Shallow Anoxic - Free-living (0.2-2.7 um)	0
MFL314_1	1.315746809160884	1.8714547350881403	2	314	Free-living (0.2-2.7 um)	May	Shallow Anoxic - Free-living (0.2-2.7 um)	0
MFL314_2	0.8261328437390247	2.067530962985153	2	314	Free-living (0.2-2.7 um)	May	Shallow Anoxic - Free-living (0.2-2.7 um)	0
MFL900_1	-0.9489950227191528	1.2296124650090878	1	900	Free-living (0.2-2.7 um)	May	Euxinic - Free-living (0.2-2.7 um)	0
MFL900_2	-1.0632785825517992	0.8445001116763418	1	900	Free-living (0.2-2.7 um)	May	Euxinic - Free-living (0.2-2.7 um)	0
MPA103_1	-0.08897734819571479	-0.9355166223254856	1	103	Particle-associated (>2.7 um)	May	Oxycline - Particle-associated (>2.7 um)	123
MPA103_2	-0.2503534585119187	-0.562254211166568	1	103	Particle-associated (>2.7 um)	May	Oxycline - Particle-associated (>2.7 um)	123
MPA198_1	0.2448579140244842	-1.3933075806294273	1	198	Particle-associated (>2.7 um)	May	Oxycline - Particle-associated (>2.7 um)	37.9
MPA198_2	0.41980527768538156	-1.2880950864461096	1	198	Particle-associated (>2.7 um)	May	Oxycline - Particle-associated (>2.7 um)	37.9
MPA234_1	0.14162541432825737	-1.8866023236471423	1	234	Particle-associated (>2.7 um)	May	Oxycline - Particle-associated (>2.7 um)	12
MPA234_2	0.29459055379181986	-1.577876804620335	1	234	Particle-associated (>2.7 um)	May	Oxycline - Particle-associated (>2.7 um)	12
MPA295_1	0.1154647517502756	-2.0795872368597714	1	295	Particle-associated (>2.7 um)	May	Shallow Anoxic - Particle-associated (>2.7 um)	0
MPA295_2	-0.08185773496561843	-2.1703187581241763	1	295	Particle-associated (>2.7 um)	May	Shallow Anoxic - Particle-associated (>2.7 um)	0
