phylum	freq	x	domain	average_completeness
Planctomycetota	65	1	Bacteria	92.99815384615384
Omnitrophota	56	2	Bacteria	88.91928571428572
Chloroflexota	48	4	Bacteria	88.55604166666667
Proteobacteria	44	5	Bacteria	94.09127659574469
Desulfobacterota	43	6	Bacteria	91.58348837209303
Myxococcota	33	7	Bacteria	88.28212121212121
Patescibacteria	31	8	Bacteria	79.16516129032259
Marinisomatota	17	10	Bacteria	91.14529411764705
Verrucomicrobiota	16	11	Bacteria	89.75125
Krumholzibacteriota	10	13	Bacteria	96.82900000000001
AABM5-125-24	9	14	Bacteria	95.23666666666666
Bacteroidota	9	15	Bacteria	96.03444444444445
Latescibacterota	7	17	Bacteria	90.49
Margulisbacteria	5	21	Bacteria	87.26599999999999
SAR324	5	22	Bacteria	89.882
UBA10199	5	23	Bacteria	93.17999999999999
Acidobacteriota	4	24	Bacteria	86.7975
Actinobacteriota	4	25	Bacteria	91.6425
Gemmatimonadota	4	26	Bacteria	95.5425
Bipolaricaulota	3	27	Bacteria	81.64
Cloacimonadota	3	28	Bacteria	94.25666666666667
Bdellovibrionota_B	2	30	Bacteria	93.13499999999999
Campylobacterota	2	31	Bacteria	98.265
Eisenbacteria	2	32	Bacteria	98.9
Firmicutes	2	33	Bacteria	98.78999999999999
GCA-001730085	2	34	Bacteria	91.39500000000001
Hydrogenedentota	2	35	Bacteria	97.775
Nitrospinota	2	36	Bacteria	94.815
Spirochaetota	2	37	Bacteria	87.845
Unclassified	2	38	Bacteria	98.9
Aerophobota	1	39	Bacteria	79.37
Chloroflexota_B	1	40	Bacteria	84.72
Cyanobacteria	1	41	Bacteria	88.5
Dadabacteria	1	42	Bacteria	86.59
Delongbacteria	1	43	Bacteria	98.9
Dependentiae	1	44	Bacteria	79.61
FEN-1099	1	45	Bacteria	95.81
Fermentibacterota	1	46	Bacteria	93.89
Fibrobacterota	1	47	Bacteria	94.51
Gemmatimonadota_A	1	48	Bacteria	95.6
KSB1	1	49	Bacteria	99.94
OLB16	1	50	Bacteria	97.75
Poribacteria	1	51	Bacteria	98.76
Ratteibacteria	1	52	Bacteria	91.69
UBP17	1	53	Bacteria	94.28
UBP3	1	54	Bacteria	94.26
Verrucomicrobiota_A	1	55	Bacteria	95.55
