mag_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	preference	layer	phylum
MAG_1290	6182.002591963444	-2.798430998918812	0.3445199000970557	-8.122697696505943	4.559339706364509e-16	2.8049850802199044e-15	free-living enriched	Oxycline	UBA10199
MAG_1542	8879.463251319627	2.6794547374354947	0.4270495670890269	6.274341303516436	3.5111754515538277e-10	1.1102376008823835e-9	particle enriched	Oxycline	Planctomycetota
MAG_1515	23322.390891566814	4.684188294908048	0.4186411567198659	11.189029601412258	4.6145613258858646e-29	2.009109008039538e-27	particle enriched	Oxycline	Krumholzibacteriota
MAG_211	5797859.706959837	-3.5685761569978802	0.5721678018935084	-6.236939836859366	4.462134986458331e-10	1.3876749463381402e-9	free-living enriched	Oxycline	Proteobacteria
MAG_485	1964.1695279386827	1.7107634330095012	0.3383606654336873	5.056035194920671	4.280623695938189e-7	8.907474308459615e-7	particle enriched	Oxycline	Myxococcota
MAG_46	2395.8490968906035	-4.344434632195917	0.5209179714056232	-8.339959207921117	7.431616657213015e-17	5.462720815561774e-16	free-living enriched	Oxycline	Omnitrophota
MAG_1170	2063401.0517964985	-3.8994290109082734	0.7233591424204834	-5.39072333814724	7.017464118990381e-8	1.6278215948149818e-7	free-living enriched	Oxycline	Actinobacteriota
MAG_293	1677739.4916448896	-6.192431912694358	0.7744913832679101	-7.9954819982190655	1.290679354611351e-15	7.649664484993587e-15	free-living enriched	Oxycline	SAR324
MAG_638	741.6720555005736	1.4980317114823096	0.34708625342526234	4.316021440488651	1.588665555030102e-5	2.7924990812019807e-5	particle enriched	Oxycline	Planctomycetota
MAG_1548	44242.7639857617	-3.5627168381692216	0.6651110168851363	-5.356574688619987	8.481444934084935e-8	1.9435213897538757e-7	free-living enriched	Oxycline	Proteobacteria
MAG_1024	4205.774902939274	-4.042719398774179	0.3681429752304335	-10.981384056679882	4.696721127219027e-28	1.6614650987537308e-26	free-living enriched	Oxycline	Omnitrophota
MAG_1251	5402.223300789132	1.018318628216434	0.39900104872768133	2.5521703049744056	0.010705417592034973	0.01449585252892774	particle enriched	Oxycline	Desulfobacterota
MAG_1113	3793.1458089585376	3.5873629328014993	0.3998689997188009	8.971345453946752	2.9291422247049157e-19	2.9085868406718985e-18	particle enriched	Oxycline	Myxococcota
MAG_1099	4214.991939558756	1.2864846748074295	0.3927736996205378	3.2753839578625397	0.0010551845419014233	0.001551258313548586	particle enriched	Oxycline	Bacteroidota
MAG_921	9924.935929170784	2.9434582445394937	0.48600655953663635	6.056416702165125	1.3918716247642339e-9	3.8807849242194896e-9	particle enriched	Oxycline	Myxococcota
MAG_103	3180.7229645852835	-1.5056828316456659	0.39942312537630104	-3.769643608459438	1.6348082187416657e-4	2.6138459090615336e-4	free-living enriched	Oxycline	UAP2
MAG_952	910546.1756543347	-6.412829637245729	0.7393010927239185	-8.674178491496574	4.1654653099797635e-18	3.416888935432675e-17	free-living enriched	Oxycline	Marinisomatota
MAG_1151	8749.552496494438	2.6728664263356574	0.34421416885051226	7.76512609943273	8.156403471621249e-15	4.235343454071218e-14	particle enriched	Oxycline	Nanoarchaeota
MAG_1243	1369.8261899351908	-3.8093397016345567	0.4293751613699073	-8.87182129837456	7.195918928339228e-19	6.676869038426234e-18	free-living enriched	Oxycline	Altiarchaeota
MAG_646	5833.744509101085	2.3561785889879654	0.44526657907302347	5.29161338336501	1.2124198628294016e-7	2.701691505360005e-7	particle enriched	Oxycline	Gemmatimonadota
MAG_974	909.3013365860875	-3.071311283707195	0.3139464045194566	-9.782915935630195	1.3331333900482566e-22	2.219274996374451e-21	free-living enriched	Oxycline	Iainarchaeota
MAG_670	7522.538251941089	2.3551185913136257	0.47938618826548535	4.9127794019992805	8.979428835902848e-7	1.7895622257468352e-6	particle enriched	Oxycline	Planctomycetota
MAG_1504	5035.3489891920235	1.434207217227426	0.3216477783769697	4.458937115824074	8.236707978447472e-6	1.5136288038315808e-5	particle enriched	Oxycline	Omnitrophota
MAG_933	1846.336262706126	2.6371328369923432	0.40239103833976836	6.553656979720353	5.6144852940085346e-11	1.9376821197614822e-10	particle enriched	Oxycline	Desulfobacterota
MAG_861	803.0932143614323	-1.5782468319382086	0.35241470222538696	-4.478379653209928	7.521175216107058e-6	1.3866401212757638e-5	free-living enriched	Oxycline	Aenigmarchaeota
MAG_1037	33484.79611405407	0.7474000789692471	0.3707815039605203	2.0157426165702916	0.04382689679978168	0.05512449686372541	no significant difference	Oxycline	Verrucomicrobiota
MAG_648	1504.5170927601635	0.5115885521329313	0.37778100151000704	1.3541934350538796	0.1756746729297694	0.20459231456429933	no significant difference	Oxycline	Hydrogenedentota
MAG_1224	6667.525016149254	-1.383996792550389	0.40360836501152053	-3.429058742404619	6.056784217807986e-4	9.190723504770294e-4	free-living enriched	Oxycline	Omnitrophota
MAG_45	6455.347730352749	-1.8182303376036975	0.3827277962967662	-4.750714098104979	2.0269955311912476e-6	3.96982515797317e-6	free-living enriched	Oxycline	Omnitrophota
MAG_982	2613.3297691356343	1.0286183948355359	0.4226788671029255	2.433569489493922	0.014950765349300238	0.019957861291754565	particle enriched	Oxycline	Verrucomicrobiota
MAG_1588	4799.696104974985	-1.6711031807225023	0.4306352263625384	-3.880553838657993	1.042188708750897e-4	1.695054049290252e-4	free-living enriched	Oxycline	Chloroflexota
MAG_422	2561.2122803748093	-3.689423771165306	0.3936367153068123	-9.372661714976607	7.072601089005623e-21	9.309516782272519e-20	free-living enriched	Oxycline	Patescibacteria
MAG_163	1151.4568743571506	1.8206030474131565	0.39863561492234206	4.5670857777417275	4.945516702643358e-6	9.268749846675962e-6	particle enriched	Oxycline	Omnitrophota
MAG_289	7763.149293790555	-0.5526830926478812	0.3982524019301058	-1.3877708959678248	0.16520681983786345	0.1931964050170056	no significant difference	Oxycline	Myxococcota
MAG_1148	56044.65006836891	-4.773877748704368	0.7465194256350579	-6.394847320474306	1.6070785539347412e-10	5.288409660041066e-10	free-living enriched	Oxycline	Proteobacteria
MAG_1262	1047.3818287659453	-4.350043065806141	0.5482183715585753	-7.934872838060943	2.1071110324729506e-15	1.2046715599794848e-14	free-living enriched	Oxycline	Nanoarchaeota
MAG_254	2442.767910231172	-1.83039291375859	0.35915849228126423	-5.096337558754346	3.462874330866268e-7	7.313383848023538e-7	free-living enriched	Oxycline	Acidobacteriota
MAG_28	21924.32888779324	2.5148649462603787	0.30531184550706725	8.237036928860874	1.7652800886542745e-16	1.1894625359265707e-15	particle enriched	Oxycline	Planctomycetota
MAG_1301	22428.072223180967	3.356990198049609	0.40052041669089633	8.381570721875043	5.2226006650086004e-17	3.8894631268353526e-16	particle enriched	Oxycline	Myxococcota
MAG_1289	4262.858662729405	-0.4211163933564694	0.35529150359614714	-1.1852700925692388	0.2359106743588211	0.2692045195304289	no significant difference	Oxycline	Spirochaetota
MAG_395	1710457.3354132844	-3.7878187336876787	0.6629610786136362	-5.713485837824218	1.1068508932946639e-8	2.7967750250213383e-8	free-living enriched	Oxycline	Thermoplasmatota
MAG_1305	614.3997780301956	0.9399578961907604	0.3368210716076453	2.790674264244651	0.005259837710231133	0.007314663744449193	particle enriched	Oxycline	Verrucomicrobiota
MAG_81	366733.25077924004	-3.283097589140132	0.4799598506257092	-6.840358802637463	7.899507392593552e-12	2.980747456138634e-11	free-living enriched	Oxycline	Proteobacteria
MAG_724	3475.1532504988304	-1.3444627957075703	0.35433892962848634	-3.794284746294174	1.4806967217453939e-4	2.3741482847249091e-4	free-living enriched	Oxycline	Ratteibacteria
MAG_331	7620.541633498525	-2.2582225694180855	0.6484128758374655	-3.482692360945872	4.963984478836837e-4	7.593554635193648e-4	free-living enriched	Oxycline	Nanoarchaeota
MAG_758	385.5541664438769	0.8662183307093054	0.2950326493358007	2.936008379612901	0.0033246534139592895	0.004669364348141334	particle enriched	Oxycline	Desulfobacterota
MAG_1566	7839.2171934477155	-3.9772211495839125	0.4834565921386322	-8.226635471015433	1.9254529221360555e-16	1.267216690615125e-15	free-living enriched	Oxycline	Omnitrophota
MAG_723	5305.32975408002	1.995187021988583	0.3824330688867067	5.217088124195777	1.8175779891375936e-7	3.97200440869451e-7	particle enriched	Oxycline	Bdellovibrionota_B
MAG_1469	6888.1629531585095	0.07314301844983241	0.426829541031892	0.17136353372590787	0.8639379264803079	0.8731944042640254	no significant difference	Oxycline	Chloroflexota
MAG_1276	2578.6580498685853	-1.9490508834295772	0.5075914909213375	-3.8398021209768975	1.2313351648801698e-4	1.996950439318556e-4	free-living enriched	Oxycline	Chloroflexota
MAG_1526	5788.241927565029	-0.30123071156168796	0.2832676259548364	-1.0634138318711914	0.28759432283458963	0.3210619067541967	no significant difference	Oxycline	UBP3
MAG_529	2452.6120324218336	2.8037050789497084	0.3612436771479866	7.7612571688033904	8.409160326349062e-15	4.319493218589533e-14	particle enriched	Oxycline	Krumholzibacteriota
MAG_1100	1306.6017141305674	0.41555832752875477	0.4331907344745945	0.9592964356284638	0.33740943049883904	0.3729955813717635	no significant difference	Oxycline	Nanoarchaeota
MAG_239	225.6280706129379	0.43026544773192243	0.3383505794016515	1.2716557142973295	0.20349547191886927	0.23553872618830266	no significant difference	Oxycline	Planctomycetota
MAG_589	6092.851795676882	2.5033478818630615	0.30254300332182665	8.2743539079638	1.2915401719386638e-16	9.137646716466048e-16	particle enriched	Oxycline	Bacteroidota
MAG_826	4033.663944552974	0.44041349926442047	0.3559566558681104	1.2372672121844046	0.2159878961281491	0.24847388050514713	no significant difference	Oxycline	Verrucomicrobiota
MAG_1610	798.1648119564569	0.2344827215384922	0.3573054367459046	0.6562528789766024	0.5116614306136005	0.5466793143945239	no significant difference	Oxycline	Nanoarchaeota
MAG_656	1820.8244206004142	-2.4626705342109205	0.4611466550082583	-5.340319630350173	9.278284948654384e-8	2.1006037123753523e-7	free-living enriched	Oxycline	Chloroflexota
MAG_1540	98616.32057625367	-5.218188825943943	0.6580282514510271	-7.930037676098623	2.1907941107511777e-15	1.2399894666851667e-14	free-living enriched	Oxycline	Proteobacteria
MAG_1036	1339.0944726259136	-0.5727465940781583	0.37632704470241773	-1.521938436635773	0.12802450709435947	0.1512773925165083	no significant difference	Oxycline	Planctomycetota
MAG_1014	6895.580529268017	-0.5258405817682071	0.8825579140668612	-0.595814250132451	0.5512993229055378	0.5843359864504389	no significant difference	Oxycline	Nanoarchaeota
MAG_1544	1051.4067135070377	3.0374341082067216	0.3689339042817855	8.233003453883654	1.8257692944591027e-16	1.215747553722179e-15	particle enriched	Oxycline	Planctomycetota
MAG_1584	930.0049373754066	1.5242446504282727	0.4536593235971161	3.3598882931411276	7.797399322083153e-4	0.0011644664950657161	particle enriched	Oxycline	Bipolaricaulota
