mag_and_cluster	MPA103_1	MPA103_2	NPA148_1	NPA148_2	MPA198_1	MPA198_2	NPA200_1	NPA200_2	MPA234_1	MPA234_2	NPA237_1	NPA237_2	MFL103_1	MFL103_2	NFL148_1	NFL148_2	MFL198_1	MFL198_2	NFL200_1	NFL200_2	MFL234_1	MFL234_2	NFL237_1	NFL237_2
MAG_451_1;NRPS	0	0	0	0	0	0	0.006741263123578728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1201_17;betalactone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023769304956417853
MAG_1322_106;ranthipeptide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03485354357275255	0	0	0	0
MAG_1628_66;T1PKS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03679063321196401	0	0	0	0	0	0	0	0
MAG_46_1;phosphonate	0	0	0	0	0	0	0.037953744974055695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1194_121;hserlactone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08064714160173661	0	0	0	0
MAG_1201_19;betalactone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08125824765627752	0	0	0	0	0	0	0	0	0
MAG_205_25;terpene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09194096057805684
MAG_907_15;ladderane	0	0	0	0.0963494830636873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1148_10;phosphonate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0858295962107988	0.05795490221446026
MAG_1274_21;lassopeptide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14420148690883192	0	0	0	0	0	0	0	0	0
MAG_216_9;RRE-containing	0	0	0	0	0	0	0.024422382794374614	0.12348220814655096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_914_19;NRPS-like	0	0	0	0	0	0	0.16524932644724485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_16_24;PUFA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1859623065774687	0	0	0	0	0
MAG_1194_119;terpene	0	0	0	0	0	0	0.14279046033997103	0	0	0	0	0	0	0	0	0	0	0	0	0.06036741314884231	0	0	0	0
MAG_854_44;phosphonate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20259844365903928	0	0	0	0	0	0	0	0
MAG_451_28;terpene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22550135795910767	0	0	0	0	0
MAG_907_14;RRE-containing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2519710879169894	0	0	0	0	0	0	0	0	0
MAG_1606_27;terpene	0	0	0	0	0	0	0.11145085847831214	0	0	0	0	0	0	0	0	0	0	0	0.1697981847277149	0	0	0	0	0
MAG_63_31;phosphonate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13951880057884974	0	0	0.15143398433425526	0	0	0	0	0
MAG_809_172;RiPP-like	0	0	0	0	0	0	0	0	0	0	0	0.27721977108168955	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1512_49;terpene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19485397972941543	0.0634979985354812	0	0	0.07701845270582572	0
MAG_193_1;phosphonate	0	0	0	0	0	0.310721218873322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_451_41;hglE-KS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028052674528344892	0.2290450192329235	0	0	0.07585316362663606	0	0	0	0	0
MAG_1299_3;terpene	0	0	0	0	0	0	0.05691749590764588	0	0	0	0	0.2730829358834485	0	0	0	0	0	0	0	0	0	0	0	0
MAG_729_59;ranthipeptide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3411359599540536	0	0	0	0	0	0	0	0
MAG_49_2;NRPS-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14326994353087616	0.23539427696742785	0	0	0	0	0	0	0	0
MAG_809_34;terpene	0	0	0	0	0	0	0.1853781320050714	0	0	0	0	0	0	0	0	0	0	0	0.13016684768044123	0.07458710671648267	0	0	0	0
