mag_and_cluster	MPA103_1	MPA103_2	NPA148_1	NPA148_2	MPA198_1	MPA198_2	NPA200_1	NPA200_2	MPA234_1	MPA234_2	NPA237_1	NPA237_2	MFL103_1	MFL103_2	NFL148_1	NFL148_2	MFL198_1	MFL198_2	NFL200_1	NFL200_2	MFL234_1	MFL234_2	NFL237_1	NFL237_2
MAG_751_14;NRPS-like	0	0	0	0	0	0	0.014587427331669676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_929_28;RiPP-like	0	0	0	0	0	0	0.015460867800907135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1301_181;RRE-containing	0	0	0	0	0	0	0.02132753861032803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1075_39;LAP	0	0	0	0	0	0	0.037953744974055695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1252_3;terpene	0	0	0	0	0	0	0.045193613458826484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_933_1;RRE-containing	0	0	0	0	0	0	0.046876869953234375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_406_14;NRPS-like	0	0	0	0	0	0	0.04714514091708474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_921_115;T1PKS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04987189975436654	0	0	0	0	0	0	0
MAG_262_124;NRPS	0	0	0	0	0	0	0.055386678709869144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_954_74;thioamitides	0	0	0.05566034411514655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1543_64;acyl_amino_acids	0	0	0	0	0	0	0.05679263448228766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_190_99;hglE-KS	0	0	0	0	0	0	0	0	0	0	0.057084218581169244	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1116_2;ranthipeptide	0	0	0	0	0	0	0	0	0	0	0.06397436987520268	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_954_185;RRE-containing	0	0	0.034157947636847714	0	0	0	0.03298124347346418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_954_19;RiPP-like	0	0	0	0.03484229714160593	0	0	0	0.04133118561255542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1116_26;hglE-KS	0	0	0	0	0	0	0	0	0	0	0.07877706499790621	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1215_2;terpene	0	0	0	0	0	0	0	0.07944159013590033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
