mag_and_cluster	MPA295_1	MPA295_2	NPA247_1	NPA247_2	MPA314_1	MPA314_2	NPA267_1	NPA267_2	MFL295_1	MFL295_2	NFL247_1	NFL247_2	MFL314_1	MFL314_2	NFL267_1	NFL267_2
MAG_112_8;betalactone	0	0	0	0	0	0	0	0	0	0	0	0.03021557756163019	0	0	0	0
MAG_428_29;ranthipeptide	0	0	0	0	0	0	0	0	0	0	0	0.03976591525805032	0	0	0	0
MAG_781_26;NRPS-like	0	0	0	0	0	0	0	0	0	0.04976533333724097	0	0	0	0	0	0
MAG_1559_88;RRE-containing	0	0	0	0	0	0	0	0	0	0	0	0.05528129633242003	0	0	0	0
MAG_1148_12;hserlactone	0	0	0	0	0	0	0	0	0	0	0	0.06369114091945016	0	0	0	0
MAG_1512_49;terpene	0	0	0	0	0	0	0	0	0	0	0.1416225021526181	0	0	0	0	0
MAG_1194_21;redox-cofactor	0	0	0	0	0	0	0	0	0	0	0	0.15417043595972138	0	0	0	0
MAG_599_103;hglE-KS	0	0	0	0	0	0	0	0	0	0	0	0.019027514444862996	0.14171876606673106	0	0	0
MAG_1534_48;hglE-KS	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193855185188545	0	0
MAG_599_152;hserlactone	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20650651237776135	0	0
MAG_781_110;terpene	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20845040548077642	0	0
MAG_205_25;terpene	0	0	0	0	0	0	0	0	0	0.21463250266768708	0	0	0	0	0	0
MAG_595_8;terpene	0	0	0	0	0	0	0	0	0	0	0.21960056464299696	0	0	0	0	0
MAG_841_52;terpene	0	0.29133624287644344	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_946_7;hglE-KS	0	0	0	0	0	0.3676744453133551	0	0	0	0	0	0	0	0	0	0
MAG_975_177;thioamitides	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37758091966555096	0	0
MAG_599_23;phosphonate	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3910323410937009	0	0
MAG_1194_119;terpene	0	0	0	0	0	0	0.3290700582353932	0	0	0	0	0.1332642249521189	0	0	0	0
MAG_781_164;NRPS	0	0.4736079467236386	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1627_40;ranthipeptide	0	0	0	0	0	0.5226096717147961	0	0	0	0	0	0	0	0	0	0
MAG_347_26;RRE-containing	0	0	0	0	0	0	0	0	0.24827520723065044	0.25931686476337285	0	0	0.11333246259389072	0	0	0
MAG_1534_26;T1PKS	0	0	0	0.545417825699248	0	0	0	0	0	0	0	0	0	0	0	0
MAG_21_48;betalactone	0	0	0	0	0	0.5754386920638456	0	0	0	0	0	0	0	0	0	0
MAG_336_62;betalactone	0	0	0	0	0.5857789606036918	0	0	0	0	0	0	0	0	0	0	0
MAG_1322_106;ranthipeptide	0	0	0.5573379896834337	0	0	0	0	0	0	0	0.07113031614911862	0.03982236003814234	0	0	0	0
MAG_1559_135;terpene	0	0	0	0	0	0	0	0	0	0	0.6913259348127408	0	0	0	0	0
MAG_193_11;terpene	0.5072015880362001	0	0	0	0	0	0	0	0	0.1660119008849486	0	0	0	0	0.16146775325775245	0
MAG_335_3;ectoine	0	0	0	0	0	0.3233963350082187	0	0	0	0.10066657626510808	0	0.10828136134277629	0.13151902309009128	0	0.28429720191725705	0
MAG_1010_26;terpene	0	0	0	0	0	0	0	0	0.35087782215379454	0.32382105102615155	0	0	0	0	0	0.2412446285401367
MAG_907_14;RRE-containing	0	0	0	0	0	0.7592819474933573	0	0	0	0	0	0	0	0	0	0
MAG_1148_7;terpene	0	0	0	0	0	0	0	0	0.42350924182714317	0	0	0.18307665667098397	0	0.3526731884091665	0	0
MAG_629_175;ranthipeptide	0	0	0	0	0	0	0	0	0	0	0	0	0.7685101118710805	0	0	0
MAG_781_113;NRPS-like	0	0	0.09230300966153013	0	0	0	0	0	0.22421483876637907	0.05591763947166373	0	0.37060433308636714	0	0.2971727653107463	0	0
MAG_275_29;CDPS	0	0	0.7956346828558141	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1148_10;phosphonate	0	0	0	0	0	0	0	0	0.7743633332276006	0.09743956508411682	0	0	0	0	0	0
MAG_864_11;RiPP-like	0	0	0	0	0	0	0	0	0	0.16601954890787235	0.42936214602784534	0	0	0.5926628131768155	0	0
MAG_347_1;betalactone	0	0	0.40065471527854113	0	0	0	0	0	0.16969649153628721	0.3686021980616992	0.21107122170051906	0.14332041008374344	0.29309143976193847	0	0	0
MAG_1299_2;terpene	0	0	0	0	0	0	0	1.0621966104912492	0	0.3438246573304269	0	0	0	0	0	0
MAG_1540_35;terpene	0	0	0	0	0	0	0	0	0.3539249793235028	0.19862878634153155	0	0.1732154401425301	0	0.9386555598080477	0	0
MAG_347_72;T3PKS	0	0	0	0	0	0	0	0	0	0.807454172804821	0.2842576356849521	0.200985182159661	0.5377155586664755	0.16962238204449034	0	0
MAG_781_121;T3PKS	0.5220097157778756	0.5452125231846006	0	0	0	0	0	0	0.40210779190792534	0.5787643942890882	0	0.05014298341938832	0.10008914335488263	0	0	0
MAG_16_24;PUFA	0	0	0	0	0	0	0	0	0	0	0.8451223353562743	0	0.5591835829893647	0	0.6062305232909787	0
MAG_116_45;ranthipeptide	0	0	0.23039520051159879	0	0	0.6713675800117684	0	0	0.7324194362914535	0	0	0.27434091184534914	0	0.32464478834103006	0	0
MAG_347_69;betalactone	0	0	0	0	0	0	0	0	0.7186048152472642	0.5739039552149529	0.47972242386993846	0.45487896820708035	0.08265133690018202	0	0	0
MAG_205_3;terpene	0	0	0	0	0	0	0	0	0.8315256741761016	1.0075851618625098	0.4659886222758209	0.033944333655173395	0	0	0	0
MAG_336_20;T1PKS	0	0.7361968574319375	0	0	0	0	0	0	0.34676031825632736	0.22450350342538786	0	0.11340111355840672	0.6207921799844812	0.27598300924170877	0	0.6531049709686898
MAG_335_8;betalactone	0	0.6695417757699681	0.5723414148616174	0	0	0	0	0	0.3098246436252458	0.28471910261109096	0.450352042642196	0.17980841678923778	0.3372557283912113	0.17270560455818235	0	0.23207844906672329
