mag_and_cluster	MPA295_1	MPA295_2	NPA247_1	NPA247_2	MPA314_1	MPA314_2	NPA267_1	NPA267_2	MFL295_1	MFL295_2	NFL247_1	NFL247_2	MFL314_1	MFL314_2	NFL267_1	NFL267_2
MAG_589_7;terpene	0	0	0	0	0	0	0	0	0	0	0	0	0.030523286878449952	0	0	0
MAG_243_18;T1PKS	0	0	0.03515647389689704	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_613_12;ranthipeptide	0	0	0	0	0	0	0.07508396259347107	0	0	0	0	0	0	0	0	0
MAG_1116_26;hglE-KS	0	0	0	0	0.08479926468560041	0	0	0	0	0	0	0	0	0	0	0
MAG_435_1;NRPS-like	0	0	0	0.0867823460078315	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1394_1;NRPS-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09459253778941865
MAG_770_47;phosphonate	0	0	0.1081675009873348	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_826_7;arylpolyene	0	0	0.11636463186030528	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_214_40;RRE-containing	0	0	0	0	0	0.11748420721239429	0	0	0	0	0	0	0	0	0	0
MAG_697_113;NRPS-like	0	0	0.12925870345279591	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_206_27;terpene	0	0	0.13490985565353955	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_206_59;terpene	0	0	0.1487306028228178	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_663_14;RRE-containing	0	0	0.14895504771906812	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_688_1;hserlactone	0	0	0	0	0	0	0	0.16549735087049433	0	0	0	0	0	0	0	0
MAG_86_2;ranthipeptide	0	0	0.16721136857362098	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1149_104;hglE-KS	0	0	0.20245701101419497	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_929_18;arylpolyene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23917468095463162
MAG_650_8;arylpolyene	0	0	0.24842332058494804	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_663_1;NRPS-like	0	0	0.25095822418385677	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1428_64;T1PKS	0	0	0	0	0	0.25141665263267093	0	0	0	0	0	0	0	0	0	0
MAG_697_11;acyl_amino_acids	0	0	0.2644552058090525	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_770_69;NRPS-like	0	0	0	0	0	0	0	0.2854074161532165	0	0	0	0	0	0	0	0
MAG_268_27;hglE-KS	0	0	0	0	0	0	0	0.3200091210882407	0	0	0	0	0	0	0	0
MAG_621_15;terpene	0	0	0	0	0	0.3215048685707369	0	0	0	0	0	0	0	0	0	0
MAG_1242_3;terpene	0	0	0.33141371759508803	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_547_60;terpene	0	0.35542712950908867	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_151_25;lassopeptide	0	0	0	0	0.3772809770280976	0	0	0	0	0	0	0	0	0	0	0
MAG_650_6;ranthipeptide	0	0.39635641867169913	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1556_6;terpene	0	0	0.41782045407354723	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1542_5;ranthipeptide	0	0	0	0	0.4847858509862577	0	0	0	0	0	0	0	0	0	0	0
MAG_929_30;ladderane	0	0	0.5003789632942635	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_435_18;other	0	0	0	0	0	0.5259911513869477	0	0	0	0	0	0	0	0	0	0
MAG_1239_11;NRPS-like	0	0.5334911911787272	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_621_29;terpene	0	0.26899591300860964	0	0	0	0.3392604281578149	0	0	0	0	0	0	0	0	0	0
MAG_24_25;RRE-containing	0	0	0	0	0	0.5519146993058267	0	0	0	0	0	0	0	0	0	0
MAG_1528_29;arylpolyene	0	0.5703150497850639	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1521_11;RRE-containing	0	0	0	0	0	0.5703695257939679	0	0	0	0	0	0	0	0	0	0
MAG_772_16;terpene	0	0	0	0	0.33040618007852895	0	0	0	0	0	0	0	0	0	0.32427687979589376	0
MAG_244_30;NRPS-like	0	0.4962328775576407	0	0	0	0	0	0	0	0.07169056506924575	0.08645219479720233	0	0	0	0	0
