mag_and_cluster	MPA900_1	MPA900_2	NPA900_1	NPA900_2	MFL900_1	MFL900_2	NFL900_1	NFL900_2
MAG_24_5;RiPP-like	0	0.062099840091944344	0	0	0	0	0	0
MAG_1610_5;terpene	0	0.06724650520873311	0	0	0	0	0	0
MAG_854_44;phosphonate	0	0	0	0	0.07026351935205091	0	0	0
MAG_599_23;phosphonate	0	0	0	0	0.09133865771973239	0	0	0
MAG_1312_3;ladderane	0	0	0	0	0.09851649757809021	0	0	0
MAG_754_140;ladderane	0	0	0	0	0.10365065751847757	0	0	0
MAG_1562_13;terpene	0	0	0	0	0.1093499320769662	0	0	0
MAG_1594_78;terpene	0	0.11283641852254692	0	0	0	0	0	0
MAG_573_23;terpene	0	0.11380941588921453	0	0	0	0	0	0
MAG_1274_21;lassopeptide	0	0	0	0	0.12286372328053424	0	0	0
MAG_1067_1;phosphonate	0	0	0	0	0.13200117753724677	0	0	0
MAG_1208_62;ladderane	0	0	0	0	0	0	0.13879272733580428	0
MAG_1019_32;RRE-containing	0	0.13996657116239858	0	0	0	0	0	0
MAG_265_6;terpene	0	0.06482604525338595	0	0	0.06518432968171847	0.053279527007754283	0	0
MAG_171_44;thiopeptide	0	0	0	0	0	0.1761449108941625	0	0
MAG_599_1;betalactone	0	0.06272240509528385	0	0	0.12818909793814634	0	0	0
MAG_599_152;hserlactone	0	0	0	0	0.09755014964789027	0.10140817073098995	0	0
MAG_1285_8;ladderane	0	0	0	0	0.19182910143971066	0	0	0
MAG_116_45;ranthipeptide	0	0	0	0	0	0.19216623460758708	0	0
MAG_942_27;terpene	0	0	0	0	0.08533108071990775	0.12571195234422677	0	0
MAG_421_4;RRE-containing	0	0.21086378679231566	0	0	0	0	0	0
MAG_1208_24;terpene	0	0	0.1263676141065196	0	0	0	0	0.10883492549183144
MAG_196_3;ladderane	0	0	0	0	0	0.22828329168787062	0	0
MAG_200_1;NRPS-like	0.23126864947523332	0	0	0	0	0	0	0
MAG_120_4;ladderane	0	0.24490965992040778	0	0	0	0	0	0
MAG_1148_7;terpene	0	0	0	0	0	0	0	0.25276081633165354
MAG_629_96;ranthipeptide	0	0	0	0	0.2605386052463508	0	0	0
MAG_1274_3;terpene	0	0	0	0	0.2659056731179034	0	0	0
MAG_1610_1;thiopeptide	0.2829768300092196	0	0	0	0	0	0	0
MAG_1535_123;betalactone	0	0	0	0	0.06583127994773756	0.2388972405004558	0	0
MAG_171_17;ranthipeptide	0	0.22468689753245039	0	0	0	0.12118475550699175	0	0
MAG_914_19;NRPS-like	0.3324445186916922	0	0	0	0	0	0	0
MAG_732_1;hglE-KS	0.06414117888335494	0.05441126571797962	0.10028762025842095	0.167101813472182	0	0	0	0
MAG_1208_9;phosphonate	0	0	0	0	0	0	0.07412466837828126	0.292148489093454
MAG_729_14;terpene	0	0	0	0	0.3543849292529254	0	0	0
MAG_591_11;ranthipeptide	0.3555081544641467	0	0	0	0	0	0	0
MAG_115_264;T1PKS	0	0.35609165913908214	0	0	0	0	0	0
MAG_116_3;terpene	0	0.3628650434383287	0	0	0	0	0	0
MAG_1549_4;terpene	0.19445170377956014	0	0	0	0.08639858490951936	0.13045038190919825	0	0
MAG_1408_130;terpene	0.3682971768755638	0	0	0	0	0	0	0
MAG_1551_5;thiopeptide	0.1309844978318149	0	0.1592438482321235	0	0	0	0	0.1335138700913461
MAG_379_10;ladderane	0	0.39901487176541767	0	0	0	0	0	0
MAG_479_5;ladderane	0	0.3858987640288612	0	0	0	0.02110816439906378	0	0
MAG_755_1;ranthipeptide	0.16643460845494723	0.22761194460012282	0	0	0.10983309677582291	0	0	0
MAG_1019_3;terpene	0	0.2137387871539882	0	0	0.0727290642137639	0.21462849734030395	0	0
MAG_1264_121;T1PKS	0	0	0	0	0.10963295912930521	0.3765369885631614	0	0
MAG_970_77;cyclic-lactone-autoinducer	0	0	0	0	0.08128667732892514	0.41401672441355236	0	0
MAG_854_29;betalactone	0	0	0	0	0.1485677327957309	0.3693663072347517	0	0
MAG_63_31;phosphonate	0	0	0	0	0.48764081774502843	0	0	0
MAG_774_40;other	0	0	0	0	0	0	0.31564669678628376	0.2355775461660234
MAG_907_11;RRE-containing	0.3346140780725812	0.275751257172006	0	0	0	0	0	0
MAG_24_25;RRE-containing	0.27296204773596067	0.16170617967754583	0	0	0.23082737884093119	0	0	0
MAG_1131_4;ladderane	0.4491345811400032	0.22029810133895789	0	0	0	0	0	0
MAG_591_37;ranthipeptide	0.21309999999450716	0	0	0	0	0.4709983052344844	0	0
MAG_451_1;NRPS	0	0	0	0	0.10153403513099225	0.5635632151028322	0	0
MAG_451_41;hglE-KS	0.4107249436100118	0	0	0	0.1958475412219175	0.13819017250510177	0	0
MAG_880_45;hglE-KS	0	0	0	0	0.021118391303229952	0.6166444876170099	0	0
MAG_907_15;ladderane	0.5217796594387494	0.175328693697286	0	0	0	0	0	0
MAG_599_103;hglE-KS	0	0	0	0	0.2193055356483809	0.4962995250972768	0	0
MAG_729_59;ranthipeptide	0	0	0	0	0.47401106703138135	0.31472999924140777	0	0
MAG_691_1;RRE-containing	0.6134681595019692	0	0	0	0	0.15459956328927044	0	0
MAG_774_11;indole	0	0	0	0	0	0	0.35140030409145245	0.49589563764732403
MAG_815_4;ladderane	0.3213367459300553	0.5404491971981515	0	0	0	0	0	0
MAG_304_19;phosphonate	0.6764990759141354	0	0	0	0.15703686881253975	0	0	0
MAG_599_53;T1PKS	0.432804217026155	0.29991127811504925	0	0	0.22322128753145895	0	0	0
MAG_451_131;hglE-KS	0	0.069325158848897	0	0	0.18704426505515154	0.6369882740084392	0	0
MAG_275_29;CDPS	0	0	0	0	0	0	0	0.8323885863261149
MAG_1422_2;ranthipeptide	0.7886377146927507	0	0	0	0.1378608884905567	0	0	0
MAG_1396_77;RRE-containing	0	0	0	0	0.42363903434322586	0.6004384280443748	0	0
MAG_451_28;terpene	0.18074437591901055	0	0	0	0.6114943724693896	0.34634957022642215	0	0
MAG_1506_5;ladderane	0.7877672305059914	0.2673306531831415	0	0	0	0	0	0
MAG_895_29;NRPS-like	0.43048022998396984	0.7055474712039891	0	0	0	0	0	0
MAG_341_11;ladderane	0.9754537706066888	0	0	0	0	0	0	0
MAG_1423_2;ladderane	0	0.7122272131547662	0	0	0.5019497294338504	0	0	0
MAG_975_177;thioamitides	0.6185127336392349	0	0	0	0.43973482604810166	0.32597066193320917	0	0
