mag_and_cluster	MFL103_1	MFL103_2	NFL148_1	NFL148_2	MFL198_1	MFL198_2	NFL200_1	NFL200_2	MFL234_1	MFL234_2	NFL237_1	NFL237_2	MFL295_1	MFL295_2	NFL247_1	NFL247_2	MFL314_1	MFL314_2	NFL267_1	NFL267_2	MFL900_1	MFL900_2	NFL900_1	NFL900_2	MPA103_1	MPA103_2	NPA148_1	NPA148_2	MPA198_1	MPA198_2	NPA200_1	NPA200_2	MPA234_1	MPA234_2	NPA237_1	NPA237_2	MPA295_1	MPA295_2	NPA247_1	NPA247_2	MPA314_1	MPA314_2	NPA267_1	NPA267_2	MPA900_1	MPA900_2	NPA900_1	NPA900_2
MAG_1079_2;ladderane	0	0	1.8592863272744742	0.06573841246952394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17582492402089922	0	0	0	0	0.15177403719472332	0.5473459509845834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6908172882699918	0.875532505466171	0	0
MAG_1131_4;ladderane	0	0	1.097095658273316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07126816811362306	0.10265619260555302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4491345811400032	0.22029810133895789	0	0
MAG_120_4;ladderane	0	0	0.84450280876845	0.18772978382925087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4389895578308726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24490965992040778	0	0
MAG_1224_47;ladderane	0	0	2.337780067697138	0.7088566711350238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24831909211727476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5373215444656	0.9212860495434183	0	0
MAG_1285_8;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19182910143971066	0	0	0	0	0	0.14029427870940925	0	0	0	0.4156505869236345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1312_3;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0985164975780902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1414_10;ladderane	0	0	2.130896086181109	0.7432742518858659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8545547159295194	1.3530085352354406	0	0	0.05930156893531511	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3431268855708187	1.495163806746927	0	0
MAG_1414_5;ladderane	0	0	1.8005765702925955	0.3216116592184891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10648727752749437	0	0	0	0	0.5582607911686279	0.5627408744983287	0	0	0.24400316748229198	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7157968605209777	1.5506205590419684	0	0
MAG_1423_2;ladderane	0	0	0.06716674931358284	0.41791061417154246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5019497294338504	0	0	0	0	0	0.5364832363017127	0.31490166662983204	0	0	0.03429160309938601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7122272131547662	0	0
MAG_1506_5;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.403020631520059	0.47844980601615866	0	0	0.32797711830841836	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7877672305059914	0.2673306531831415	0	0
MAG_196_1;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8378420009523961	0.43140880818033667	0	0	0.09802658005323867	0	0	0	0.2644552058090525	0	0	0	0	0	0	0	0	0
MAG_196_3;ladderane	0	0	0	1.5548629535730187	0	0	0.5867828475387581	0.7165472561844871	1.3002301652553219	0	0.04703029608664452	0.19576018656241545	0.48957823588419475	1.3325310908204449	0	0.7050392086838939	1.0996780903378338	0.3489435719815735	0	0	0	0.22828329168787062	0	0	0	0	0	0	0	0	0.829784719590788	1.2321805227299127	0	0	1.1318134106957793	1.1013627707781504	0	1.0957130835061317	0	0	1.0627380255691807	2.07047352260423	0	0	0	0	0	0
MAG_196_4;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10902589394642816	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40582638905256674	0.6821731798797612	0	0	0.15537318093162777	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_334_20;ladderane	0	0	2.3830051851920104	0.2421073481622736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29043340272187074	0	0	0	0	0	1.0526031216251874	1.090572884978445	0	0	0.5264529393755731	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0284696768603965	2.390689489626031	0	0
MAG_334_6;ladderane	0	0	2.8026896142454625	1.3306675366169138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23403444793263456	0	0	0	0	1.1751125092039192	1.6330948715827487	0	0	0.728449381519667	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2576744077375976	1.0753869108298768	0	0
MAG_334_9;ladderane	0	0	2.338361217657085	0.9202344192887073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27653987712375455	0.2079498248194699	0	0	0	0	1.1345382855543236	1.0655153150369312	0	0	0.7848938022820832	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5402364649997655	1.9590317792621537	0	0
MAG_341_11;ladderane	0	0	2.3356310890530816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5360701130696186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9754537706066888	0	0	0
MAG_358_17;ladderane	0	0	1.5567551087608618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1719642301453256	0	0	0	0.2073614458433759	0	0	0	0	0.16606549651319197	0	0	0	0	0	0	0	0	0	0.12859698527278693	0	0
MAG_379_10;ladderane	0	0	2.4913059684350243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39901487176541767	0	0
MAG_45_7;ladderane	0	0	1.8041283028539161	0.6002237595285568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12286372328053423	0.24209129401768323	0	0	0	0	0.35071027278812505	0.45731432389132093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7506262086988726	0.06267280159890466	0	0
MAG_479_5;ladderane	0	0	0.8504513887871815	0.013411100437769751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02110816439906378	0	0	0	0	0.028192914793630314	0.3445115603980114	0	0	0.29677267113711375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3858987640288612	0	0
MAG_49_5;ladderane	0	0	1.736528240135107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4328380177719298	1.2610788238186659	0	0	0.41158085430580577	0	0	0	0	0	0	0	0	0	0	0	0	0	1.289568736072832	1.4123696940632848	0	0
MAG_522_1;ladderane	0	0	1.9710106253338564	1.1307874551909063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2092283495713139	0.5553970861965579	0	0	0	0	1.2464018839993125	1.4198628399056181	0	0	0.39821615505176744	0	0	0	0.30823714281296466	0	0	0	0	0	0	0	0	0	1.5904405555830068	1.2803508611838128	0	0
MAG_522_13;ladderane	0	0	1.1665128329623475	0.23721233369312078	0	0	0.10036436226666842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12395875455529906	0.8585259939171886	0	0	0.05965294653815138	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8355281732094035	1.840060551272743	0	0
MAG_62_18;ladderane	0	0	0.9714344906904255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11133006526099239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.213200098063111	0	0	0
MAG_623_17;ladderane	0	0	0.06178896497717284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8541010969726501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20092196385450986	1.3215941454989197	0	0
MAG_623_7;ladderane	0	0	0.6372580329878711	0.044244757165667475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3187164415733461	1.3687798531865307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6450843633148484	1.3865591045815178	0	0
MAG_815_4;ladderane	0	0	1.6648385930413485	0.6579613337087321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14409294177294157	0.6985595531002791	0	0	0.1303471727201559	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3213367459300553	0.5404491971981515	0	0
MAG_907_15;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09634948306368729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5217796594387494	0.175328693697286	0	0
MAG_914_12;ladderane	0	0	0.7072352500994922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23088088670075962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAG_1149_11;ladderane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3492750811688296	1.0262250557248145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
