bin_id,marker_lineage,ml_uid,completeness,contamination,strain_het,classification,fastani_reference,fastani_reference_radius,fastani_taxonomy,fastani_ani,fastani_af,closest_placement_reference,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,classification_method,note,"other_related_references(genome_id,species_name,radius,ANI,AF)",aa_percent,translation_table,red_value,warnings
CarAnox_mtb2-670,k__Bacteria,(UID2565),100.0,0.0,0.0,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__;s__,,,,,,GCA_003485185.1,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__UBA12270;s__UBA12270 sp003485185,77.4,0.29,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__;s__,Placement,taxonomic novelty determined using RED,,89.72,11.0,0.836760716839,
CarAnox_mtb2-42,k__Bacteria,(UID2565),100.0,1.7,0.0,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__UBA1845;f__UBA1845;g__;s__,,,,,,GCA_002338715.1,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__UBA1845;f__UBA1845;g__UBA1845;s__UBA1845 sp002338715,75.33,0.03,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__UBA1845;f__;g__;s__,Placement,taxonomic novelty determined using RED,,91.35,11.0,0.7552021625570001,
CarAnox_mtb2-1512,k__Bacteria,(UID2495),100.0,0.0,0.0,d__Bacteria;p__Latescibacterota;c__;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;p__Latescibacterota;c__;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,96.63,11.0,0.41594788248899994,
CarAnox_mtb2-1454,k__Bacteria,(UID2565),100.0,0.0,0.0,d__Bacteria;p__Planctomycetota;c__GCA-002687715;o__GCA-002687715;f__GCA-002687715;g__GCA-2683135;s__,,,,,,GCA_002683135.1,d__Bacteria;p__Planctomycetota;c__GCA-002687715;o__GCA-002687715;f__GCA-002687715;g__GCA-2683135;s__GCA-2683135 sp002683135,77.91,0.3,d__Bacteria;p__Planctomycetota;c__GCA-002687715;o__GCA-002687715;f__GCA-002687715;g__;s__,Placement,taxonomic novelty determined using RED,,93.29,11.0,0.9010842139299999,
CarAnox_mtb2-877,k__Bacteria,(UID2495),99.94,1.1,0.0,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__;s__,,,,,,,,,,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,94.9,11.0,0.7735933362690001,
CarAnox_mtb2-657,k__Bacteria,(UID2495),99.94,0.0,0.0,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,94.42,11.0,0.515015140543,
CarAnox_mtb2-1219,k__Bacteria,(UID2495),99.94,3.3,0.0,d__Bacteria;p__KSB1;c__UBA2214;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;p__KSB1;c__UBA2214;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,95.14,11.0,0.48039406501599996,
CarAnox_mtb2-810,c__Gammaproteobacteria,(UID4761),99.66,0.37,0.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas macleodii,GCF_000172635.2,95.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas macleodii,97.81,0.84,GCF_000172635.2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas macleodii,97.81,0.84,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCF_000808575.1, s__Alteromonas marina, 95.0, 92.54, 0.79; GCF_001953635.1, s__Alteromonas abrolhosensis, 95.0, 90.16, 0.81; GCF_001885075.1, s__Alteromonas sp001885075, 95.0, 86.25, 0.56; GCF_000597705.1, s__Alteromonas sp000597705, 95.0, 84.61, 0.69; GCF_000020585.3, s__Alteromonas mediterranea, 95.0, 84.02, 0.62; GCF_002993325.1, s__Alteromonas gracilis, 95.0, 83.97, 0.65; GCF_000730385.1, s__Alteromonas australica, 95.0, 80.84, 0.31; GCF_002831605.1, s__Alteromonas sp002831605, 95.0, 80.01, 0.28; GCF_000753865.1, s__Alteromonas sp000753865, 95.0, 79.55, 0.32; GCA_002691125.1, s__Alteromonas sp002691125, 95.0, 79.26, 0.31; GCF_000213655.1, s__Alteromonas naphthalenivorans, 95.0, 79.26, 0.26; GCF_001562115.1, s__Alteromonas stellipolaris, 95.0, 79.09, 0.27",99.38,11.0,,
CarAnox_mtb2-1576,o__Sphingomonadales,(UID3310),99.59,1.37,20.0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__,,,,,,GCF_001598375.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium capsulatum,93.61,0.85,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__,Placement,taxonomic classification fully defined by topology,"GCF_003208305.1, s__Novosphingobium sp003208305, 95.0, 86.24, 0.62; GCA_001725355.1, s__Novosphingobium sp001725355, 95.0, 80.86, 0.43; GCA_002336885.1, s__Novosphingobium sp002336885, 95.0, 80.82, 0.42; GCF_000013325.1, s__Novosphingobium aromaticivorans, 95.0, 80.1, 0.39; GCF_001590965.1, s__Novosphingobium lentum, 95.0, 79.97, 0.4; GCF_900117425.1, s__Novosphingobium sp900117425, 95.0, 79.95, 0.4; GCF_000807925.1, s__Novosphingobium subterraneum, 95.0, 79.95, 0.39; GCF_900176395.1, s__Novosphingobium sp900176395, 95.0, 79.85, 0.39; GCF_003171715.1, s__Novosphingobium sp003171715, 95.0, 79.83, 0.45; GCA_002256985.1, s__Novosphingobium sp002256985, 95.0, 79.76, 0.4; GCF_000192575.1, s__Novosphingobium nitrogenifigens, 95.0, 79.75, 0.39; GCF_001519065.1, s__Novosphingobium sp001519065, 95.0, 79.68, 0.44; GCF_001519055.1, s__Novosphingobium sp001519055, 95.0, 79.62, 0.39; GCF_001519075.1, s__Novosphingobium fuchskuhlense, 95.0, 79.53, 0.43; GCF_000429005.1, s__Novosphingobium acidiphilum, 95.0, 79.5, 0.48; GCF_000767465.1, s__Novosphingobium pentaromativorans, 95.0, 79.37, 0.28; GCF_002855555.1, s__Novosphingobium sp002855555, 95.0, 79.27, 0.43; GCF_002813245.1, s__Novosphingobium kunmingense, 95.0, 79.24, 0.39; GCA_002256775.1, s__Novosphingobium sp002256775, 95.0, 79.23, 0.38; GCF_001590985.1, s__Novosphingobium naphthalenivorans, 95.0, 79.13, 0.33; GCF_002149965.1, s__Novosphingobium panipatense, 95.0, 79.08, 0.35; GCF_900113255.1, s__Novosphingobium sp900113255, 95.0, 78.98, 0.35; GCF_000445125.1, s__Novosphingobium lindaniclasticum, 95.0, 78.98, 0.3; GCF_000272475.1, s__Novosphingobium sp000272475, 95.0, 78.96, 0.28; GCF_001295795.1, s__Novosphingobium sp001295795, 95.0, 78.93, 0.32; GCF_000253255.1, s__Novosphingobium sp000253255, 95.0, 78.93, 0.3; GCA_001898925.1, s__Novosphingobium sp001898925, 95.0, 78.88, 0.38; GCF_002198665.1, s__Novosphingobium sp002198665, 95.0, 78.85, 0.36; GCF_001046635.1, s__Novosphingobium barchaimii, 95.0, 78.84, 0.32; GCF_001742225.1, s__Novosphingobium resinovorum, 95.0, 78.81, 0.35; GCF_000802225.1, s__Novosphingobium malaysiense, 95.0, 78.81, 0.26; GCF_002896965.1, s__Novosphingobium guangzhouense, 95.0, 78.8, 0.32; GCA_002280675.1, s__Novosphingobium sp002280675, 95.0, 78.78, 0.33; GCF_000813185.1, s__Novosphingobium sp000813185, 95.0, 78.78, 0.3; GCF_001598555.1, s__Novosphingobium rosa, 95.0, 78.77, 0.38; GCF_900168325.1, s__Novosphingobium mathurense, 95.0, 78.76, 0.29; GCA_002454125.1, s__Novosphingobium sp002454125, 95.0, 78.72, 0.48; GCA_002440635.1, s__Novosphingobium sp002440635, 95.0, 78.7, 0.37; GCF_001298105.1, s__Novosphingobium sp001298105, 95.0, 78.67, 0.34; GCF_000281975.1, s__Novosphingobium sp000281975, 95.0, 78.64, 0.32; GCF_002916655.1, s__Novosphingobium sp002916655, 95.0, 78.55, 0.22; GCF_001476695.1, s__Novosphingobium barchaimii_A, 95.0, 78.54, 0.31; GCF_002556635.1, s__Novosphingobium sp002556635, 95.0, 78.49, 0.28; GCF_003208375.1, s__Novosphingobium sp003208375, 95.0, 78.46, 0.35; GCF_001421325.1, s__Novosphingobium sp001421325, 95.0, 78.46, 0.36; GCF_000876675.1, s__Novosphingobium sp000876675, 95.0, 78.37, 0.33; GCA_002684595.1, s__Novosphingobium sp002684595, 95.0, 78.29, 0.25; GCA_002336765.1, s__Novosphingobium sp002336765, 95.0, 78.08, 0.37",98.25,11.0,0.996064574058,
CarAnox_mtb2-213,c__Alphaproteobacteria,(UID3305),99.57,0.43,0.0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA11136;f__UBA11136;g__;s__,,,,,,GCA_002686135.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA11136;f__UBA11136;g__UBA11136;s__UBA11136 sp002686135,76.83,0.19,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA11136;f__UBA11136;g__;s__,Placement,taxonomic novelty determined using RED,,98.59,11.0,0.805239978472,
